Instrument in Sequence,1 - E3631A - ASRL3::INSTR,,,,,,,,,,
Instrument in Sequence,2 - 34450A - USB0::0x0957::0xB318::MY53180202::0::INSTR,,,,,,,,,,
Instrument in Sequence,3 - 34461A - USB0::0x2A8D::0x1301::MY57212367::0::INSTR,,,,,,,,,,
Start Time,2022-12-06 10:09:32.093,,,,,,,,,,
Stop Time,2022-12-06 10:21:19.660,,,,,,,,,,
,,,,,,,,,,,
Time,Step,1 - Set CH1 On/Off,1 - Set CH2 On/Off,1 - Sweep CH2 Voltage Setting,1 - Get CH2 Voltage Setting,1 - Get CH2 Current Measurement,1 - Sweep CH1 Voltage Setting,3 - Get Measurement Value,2 - Get Measurement Value,1 - Set CH1 On/Off,1 - Set CH2 On/Off ()
2022-12-06 10:09:38.171,1,1,,,,,,,,,
2022-12-06 10:09:39.895,2,,1,,,,,,,,
2022-12-06 10:09:47.390,3,,,0,0,-0.0001282589,,,,,
2022-12-06 10:09:58.789,4,,,0,,,0,-3.05874441E-09,-0.000318119475,,
2022-12-06 10:10:03.736,5,,,0,,,0.05,1.25059475E-09,0.0496036357,,
2022-12-06 10:10:06.449,6,,,0,,,0.1,6.9512952E-09,0.0992392148,,
2022-12-06 10:10:15.373,7,,,0,,,0.15,1.27815101E-08,0.149151488,,
2022-12-06 10:10:17.655,8,,,0,,,0.2,1.85924355E-08,0.199171397,,
2022-12-06 10:10:19.919,9,,,0,,,0.25,3.58858232E-08,0.249084674,,
2022-12-06 10:10:22.055,10,,,0,,,0.3,1.24907456E-07,0.298964595,,
2022-12-06 10:10:24.304,11,,,0,,,0.35,7.04363393E-07,0.34828101,,
2022-12-06 10:10:26.565,12,,,0,,,0.4,4.12457586E-06,0.39454429,,
2022-12-06 10:10:28.754,13,,,0,,,0.45,1.66987303E-05,0.430625686,,
2022-12-06 10:10:31.027,14,,,0,,,0.5,4.09554639E-05,0.453862942,,
2022-12-06 10:10:33.271,15,,,0,,,0.55,7.26482857E-05,0.468855914,,
2022-12-06 10:10:35.411,16,,,0,,,0.6,0.000108415056,0.479445222,,
2022-12-06 10:10:37.661,17,,,0,,,0.65,0.000146337021,0.487475585,,
2022-12-06 10:10:39.921,18,,,0,,,0.7,0.000185817224,0.493944362,,
2022-12-06 10:10:42.114,19,,,0,,,0.75,0.0002262196,0.499350442,,
2022-12-06 10:10:44.332,20,,,0,,,0.8,0.000267380245,0.503996124,,
2022-12-06 10:10:46.578,21,,,0,,,0.85,0.000308993092,0.508049594,,
2022-12-06 10:10:48.872,22,,,0,,,0.9,0.000350829635,0.511660172,,
2022-12-06 10:10:51.034,23,,,0,,,0.95,0.000393170813,0.514934735,,
2022-12-06 10:10:53.251,24,,,0,,,1,0.000435761145,0.517916967,,
2022-12-06 10:10:55.512,25,,,0,,,1.05,0.000478632586,0.520668915,,
2022-12-06 10:10:57.654,26,,,0,,,1.1,0.000521615883,0.523223453,,
2022-12-06 10:10:59.882,27,,,0,,,1.15,0.000564559718,0.525593849,,
2022-12-06 10:11:02.113,28,,,0,,,1.2,0.00060783123,0.527821611,,
2022-12-06 10:11:04.246,29,,,0,,,1.25,0.000651299607,0.529923483,,
2022-12-06 10:11:06.524,30,,,0,,,1.3,0.000694790755,0.53191981,,
2022-12-06 10:11:08.806,31,,,0,,,1.35,0.000738418174,0.533804451,,
2022-12-06 10:11:10.930,32,,,0,,,1.4,0.00078207156,0.535610381,,
2022-12-06 10:11:13.172,33,,,0,,,1.45,0.000825890142,0.537323853,,
2022-12-06 10:11:15.396,34,,,0,,,1.5,0.00086969086,0.538987419,,
2022-12-06 10:11:17.639,35,,,0,,,1.55,0.000913598208,0.540566368,,
2022-12-06 10:11:19.808,36,,,0,,,1.6,0.000957510315,0.542078563,,
2022-12-06 10:11:22.087,37,,,0,,,1.65,0.00100155466,0.543555621,,
2022-12-06 10:11:24.352,38,,,0,,,1.7,0.00104547953,0.544961157,,
