Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),2 (AMP),,Time (s),M1,
Serial Number:,MY56272288,,-0.00050074375,0.733668819069862,0.230974648147821,,-0.00050074375,0.53011413209606,
Firmware Version:,02.41.2015102200,,-0.00050071775,0.773869831115007,0.222653040662408,,-0.00050071775,0.578942262916826,
Start Time:,2022-12-06 13:01:50.829,,-0.00050069175,0.773869831115007,0.222653040662408,,-0.00050069175,0.578942262916826,
,,,-0.00050066575,0.773869831115007,0.222653040662408,,-0.00050066575,0.578942262916826,
Analog Sample Count:,1000,,-0.00050063975,0.733668819069862,0.222653040662408,,-0.00050063975,0.538903195643798,
Function Sample Count:,1000,,-0.00050061375,0.773869831115007,0.230974648147821,,-0.00050061375,0.570153199369088,
Waveform Memory Sample Count:,0,,-0.00050058775,0.773869831115007,0.214331433176994,,-0.00050058775,0.586754763848148,
Digital Sample Count:,0,,-0.00050056175,0.773869831115007,0.230974648147821,,-0.00050056175,0.570153199369088,
,,,-0.00050053575,0.733668819069862,0.230974648147821,,-0.00050053575,0.53011413209606,
Setup Text Information:,,,-0.00050050975,0.733668819069862,0.222653040662408,,-0.00050050975,0.538903195643798,
ANALOG,,,-0.00050048375,0.733668819069862,0.222653040662408,,-0.00050048375,0.538903195643798,
Channel 1,,,-0.00050045775,0.733668819069862,0.222653040662408,,-0.00050045775,0.538903195643798,
Scale,1 V/,,-0.00050043175,0.733668819069862,0.222653040662408,,-0.00050043175,0.538903195643798,
Pos,-2 V,,-0.00050040575,0.773869831115007,0.222653040662408,,-0.00050040575,0.578942262916826,
Coup,,,-0.00050037975,0.733668819069862,0.222653040662408,,-0.00050037975,0.538903195643798,
BW,Off,,-0.00050035375,0.733668819069862,0.222653040662408,,-0.00050035375,0.538903195643798,
Inv,Off,,-0.00050032775,0.773869831115007,0.230974648147821,,-0.00050032775,0.570153199369088,
Imp,1M Ohm,,-0.00050030175,0.733668819069862,0.230974648147821,,-0.00050030175,0.53011413209606,
Trace Label,1,,-0.00050027575,0.733668819069862,0.222653040662408,,-0.00050027575,0.538903195643798,
Probe,2,,-0.00050024975,0.733668819069862,0.222653040662408,,-0.00050024975,0.538903195643798,
Skew,0 s,,-0.00050022375,0.733668819069862,0.230974648147821,,-0.00050022375,0.53011413209606,
,,,-0.00050019775,0.773869831115007,0.222653040662408,,-0.00050019775,0.578942262916826,
Channel 2,,,-0.00050017175,0.733668819069862,0.222653040662408,,-0.00050017175,0.538903195643798,
Scale,207 mA/,,-0.00050014575,0.733668819069862,0.222653040662408,,-0.00050014575,0.538903195643798,
Pos,414.05 mA,,-0.00050011975,0.773869831115007,0.222653040662408,,-0.00050011975,0.578942262916826,
Coup,,,-0.00050009375,0.733668819069862,0.222653040662408,,-0.00050009375,0.538903195643798,
BW,Off,,-0.00050006775,0.773869831115007,0.222653040662408,,-0.00050006775,0.578942262916826,
Inv,Off,,-0.00050004175,0.773869831115007,0.230974648147821,,-0.00050004175,0.570153199369088,
Imp,1M Ohm,,-0.00050001575,0.733668819069862,0.222653040662408,,-0.00050001575,0.538903195643798,
Trace Label,2,,-0.00049998975,-0.351758506149054,0.164401788264513,,-0.00049998975,-0.487464114208706,
Probe,1.0351422,,-0.00049996375,-0.793969638645649,0.206009825691581,,-0.00049996375,-0.97086260933429,
