Start Time,2022-12-06 10:49:47.269,,,,,,,,,,
Stop Time,2022-12-06 11:16:57.398,,,,,,,,,,
,,,,,,,,,,,
Time,Step,Set CH1 On/Off,Set CH2 On/Off,Sweep CH2 Voltage Setting,Get CH2 Voltage Setting,Get CH2 Current Measurement,Sweep CH1 Voltage Setting,Get Measurement Value,Get Measurement Value,Set CH1 On/Off,Set CH2 On/Off ()
2022-12-06 10:49:53.532,1,1,,,,,,,,,
2022-12-06 10:49:55.075,2,,1,,,,,,,,
2022-12-06 10:50:11.105,3,,,0,0,-9.754905E-05,,,,,
2022-12-06 10:50:21.795,4,,,0,,,0,-2.06786738E-09,-0.000275770259,,
2022-12-06 10:50:25.952,5,,,0,,,0.05,2.92302985E-09,0.0496817892,,
2022-12-06 10:50:28.212,6,,,0,,,0.1,8.80009034E-09,0.0993326595,,
2022-12-06 10:50:30.742,7,,,0,,,0.15,1.3137445E-08,0.149270052,,
2022-12-06 10:50:32.866,8,,,0,,,0.2,1.8245686E-08,0.199302455,,
2022-12-06 10:50:35.140,9,,,0,,,0.25,2.23775169E-08,0.249242225,,
2022-12-06 10:50:37.370,10,,,0,,,0.3,2.72039952E-08,0.299257151,,
2022-12-06 10:50:39.469,11,,,0,,,0.35,3.32261853E-08,0.349202352,,
2022-12-06 10:50:41.729,12,,,0,,,0.4,3.76094671E-08,0.399272294,,
2022-12-06 10:50:43.961,13,,,0,,,0.45,4.30173823E-08,0.449205523,,
2022-12-06 10:50:46.114,14,,,0,,,0.5,4.81639724E-08,0.499205623,,
2022-12-06 10:50:48.333,15,,,0,,,0.55,5.24425404E-08,0.549172454,,
2022-12-06 10:50:50.553,16,,,0,,,0.6,5.74297634E-08,0.599197507,,
2022-12-06 10:50:52.854,17,,,0,,,0.65,6.29862528E-08,0.64906825,,
2022-12-06 10:50:54.969,18,,,0,,,0.7,6.82687871E-08,0.699048762,,
2022-12-06 10:50:57.212,19,,,0,,,0.75,7.31189178E-08,0.749011217,,
2022-12-06 10:50:59.448,20,,,0,,,0.8,7.7704738E-08,0.799046148,,
2022-12-06 10:51:01.572,21,,,0,,,0.85,8.40929671E-08,0.8490099,,
2022-12-06 10:51:03.826,22,,,0,,,0.9,8.73198047E-08,0.898735466,,
2022-12-06 10:51:06.055,23,,,0,,,0.95,9.32113322E-08,0.948710834,,
2022-12-06 10:51:08.171,24,,,0,,,1,9.77826854E-08,0.998661577,,
2022-12-06 10:51:10.388,25,,,0,,,1.05,1.03193816E-07,1.04870494,,
2022-12-06 10:51:12.610,26,,,0,,,1.1,1.07526118E-07,1.09867221,,
2022-12-06 10:51:14.793,27,,,0,,,1.15,1.12319529E-07,1.14839481,,
2022-12-06 10:51:16.947,28,,,0,,,1.2,1.1796925E-07,1.19832577,,
2022-12-06 10:51:19.452,29,,,0,,,1.25,1.22932821E-07,1.2486927,,
2022-12-06 10:51:21.547,30,,,0,,,1.3,1.2819974E-07,1.29869213,,
2022-12-06 10:51:23.746,31,,,0,,,1.35,1.32229613E-07,1.34875113,,
2022-12-06 10:51:25.945,32,,,0,,,1.4,1.38641954E-07,1.39875953,,
2022-12-06 10:51:28.026,33,,,0,,,1.45,1.44009453E-07,1.44862902,,
2022-12-06 10:51:30.231,34,,,0,,,1.5,1.47420229E-07,1.49867945,,
2022-12-06 10:51:32.445,35,,,0,,,1.55,1.52685311E-07,1.54868074,,
2022-12-06 10:51:34.575,36,,,0,,,1.6,1.58995693E-07,1.59872381,,
2022-12-06 10:51:36.688,37,,,0,,,1.65,1.63778311E-07,1.64873115,,
2022-12-06 10:51:38.935,38,,,0,,,1.7,1.67686477E-07,1.69870117,,
2022-12-06 10:51:41.168,39,,,0,,,1.75,1.72949722E-07,1.74861257,,
2022-12-06 10:51:43.284,40,,,0,,,1.8,1.78094705E-07,1.79853861,,
2022-12-06 10:51:45.495,41,,,0,,,1.85,1.82633679E-07,1.8485583,,
2022-12-06 10:51:47.719,42,,,0,,,1.9,1.89083221E-07,1.89861884,,
2022-12-06 10:51:49.851,43,,,0,,,1.95,1.94033932E-07,1.94853778,,
