Serial Number,MY57000085,
Model Number,U1282A,
Remark,-,
Date Time,12/6/2022 11:21:21 AM
Record,Time,Function,Reading,Range,Unit
1,12/6/2022 10:50:34.893,Current {DC},0.03,600 uA,uA
2,12/6/2022 10:50:35.892,Current {DC},0.03,600 uA,uA
3,12/6/2022 10:50:36.893,Current {DC},0.03,600 uA,uA
4,12/6/2022 10:50:37.901,Current {DC},0.03,600 uA,uA
5,12/6/2022 10:50:38.911,Current {DC},0.03,600 uA,uA
6,12/6/2022 10:50:39.927,Current {DC},0.03,600 uA,uA
7,12/6/2022 10:50:40.928,Current {DC},0.02,600 uA,uA
8,12/6/2022 10:50:41.932,Current {DC},0.03,600 uA,uA
9,12/6/2022 10:50:42.932,Current {DC},0.03,600 uA,uA
10,12/6/2022 10:50:43.940,Current {DC},0.02,600 uA,uA
11,12/6/2022 10:50:44.942,Current {DC},0.03,600 uA,uA
12,12/6/2022 10:50:45.942,Current {DC},0.03,600 uA,uA
13,12/6/2022 10:50:46.948,Current {DC},0.02,600 uA,uA
14,12/6/2022 10:50:47.949,Current {DC},0.02,600 uA,uA
15,12/6/2022 10:50:48.950,Current {DC},0.02,600 uA,uA
16,12/6/2022 10:50:49.951,Current {DC},0.02,600 uA,uA
17,12/6/2022 10:50:50.952,Current {DC},0.02,600 uA,uA
18,12/6/2022 10:50:51.953,Current {DC},0.02,600 uA,uA
19,12/6/2022 10:50:52.955,Current {DC},0.02,600 uA,uA
20,12/6/2022 10:50:53.971,Current {DC},0.02,600 uA,uA
21,12/6/2022 10:50:54.973,Current {DC},0.02,600 uA,uA
22,12/6/2022 10:50:55.974,Current {DC},0.02,600 uA,uA
23,12/6/2022 10:50:56.976,Current {DC},0.02,600 uA,uA
24,12/6/2022 10:50:57.977,Current {DC},0.02,600 uA,uA
25,12/6/2022 10:50:58.979,Current {DC},0.01,600 uA,uA
26,12/6/2022 10:50:59.981,Current {DC},0.01,600 uA,uA
27,12/6/2022 10:51:00.983,Current {DC},0.01,600 uA,uA
28,12/6/2022 10:51:01.983,Current {DC},0.02,600 uA,uA
29,12/6/2022 10:51:02.997,Current {DC},0.02,600 uA,uA
30,12/6/2022 10:51:03.998,Current {DC},0.02,600 uA,uA
31,12/6/2022 10:51:05.000,Current {DC},0.02,600 uA,uA
32,12/6/2022 10:51:06.005,Current {DC},0.02,600 uA,uA
33,12/6/2022 10:51:07.006,Current {DC},0.01,600 uA,uA
34,12/6/2022 10:51:08.008,Current {DC},0.01,600 uA,uA
35,12/6/2022 10:51:09.015,Current {DC},0.02,600 uA,uA
36,12/6/2022 10:51:10.017,Current {DC},0.02,600 uA,uA
37,12/6/2022 10:51:11.017,Current {DC},0.02,600 uA,uA
38,12/6/2022 10:51:12.018,Current {DC},0.02,600 uA,uA
39,12/6/2022 10:51:13.023,Current {DC},0.02,600 uA,uA
40,12/6/2022 10:51:14.024,Current {DC},0.02,600 uA,uA
41,12/6/2022 10:51:15.028,Current {DC},0.02,600 uA,uA
42,12/6/2022 10:51:16.030,Current {DC},0.03,600 uA,uA
43,12/6/2022 10:51:17.033,Current {DC},0.03,600 uA,uA
44,12/6/2022 10:51:18.035,Current {DC},0.03,600 uA,uA
45,12/6/2022 10:51:19.035,Current {DC},0.02,600 uA,uA
46,12/6/2022 10:51:20.036,Current {DC},0.02,600 uA,uA
47,12/6/2022 10:51:21.037,Current {DC},0.02,600 uA,uA
