Serial Number,MY57000085,
Model Number,U1282A,
Remark,-,
Date Time,12/6/2022 10:33:21 AM
Record,Time,Function,Reading,Range,Unit
1,12/6/2022 10:12:02.639,Current {DC},0.04,600 uA,uA
2,12/6/2022 10:12:03.629,Current {DC},0.04,600 uA,uA
3,12/6/2022 10:12:04.630,Current {DC},0.04,600 uA,uA
4,12/6/2022 10:12:05.632,Current {DC},0.03,600 uA,uA
5,12/6/2022 10:12:06.633,Current {DC},0.04,600 uA,uA
6,12/6/2022 10:12:07.634,Current {DC},0.04,600 uA,uA
7,12/6/2022 10:12:08.636,Current {DC},0.04,600 uA,uA
8,12/6/2022 10:12:09.637,Current {DC},0.04,600 uA,uA
9,12/6/2022 10:12:10.641,Current {DC},0.03,600 uA,uA
10,12/6/2022 10:12:11.642,Current {DC},0.03,600 uA,uA
11,12/6/2022 10:12:12.643,Current {DC},0.03,600 uA,uA
12,12/6/2022 10:12:13.644,Current {DC},0.03,600 uA,uA
13,12/6/2022 10:12:14.645,Current {DC},0.03,600 uA,uA
14,12/6/2022 10:12:15.647,Current {DC},0.03,600 uA,uA
15,12/6/2022 10:12:16.648,Current {DC},0.04,600 uA,uA
16,12/6/2022 10:12:17.649,Current {DC},0.04,600 uA,uA
17,12/6/2022 10:12:18.651,Current {DC},0.04,600 uA,uA
18,12/6/2022 10:12:19.652,Current {DC},0.04,600 uA,uA
19,12/6/2022 10:12:20.654,Current {DC},0.04,600 uA,uA
20,12/6/2022 10:12:21.660,Current {DC},0.04,600 uA,uA
21,12/6/2022 10:12:22.661,Current {DC},0.04,600 uA,uA
22,12/6/2022 10:12:23.670,Current {DC},0.04,600 uA,uA
23,12/6/2022 10:12:24.671,Current {DC},0.04,600 uA,uA
24,12/6/2022 10:12:25.673,Current {DC},0.04,600 uA,uA
25,12/6/2022 10:12:26.673,Current {DC},0.04,600 uA,uA
26,12/6/2022 10:12:27.675,Current {DC},0.04,600 uA,uA
27,12/6/2022 10:12:28.677,Current {DC},0.04,600 uA,uA
