Instrument in Sequence,1 - E3631A - ASRL3::INSTR,,,,,,,,,,
Instrument in Sequence,2 - 34450A - USB0::0x0957::0xB318::MY53180202::0::INSTR,,,,,,,,,,
Instrument in Sequence,3 - 34461A - USB0::0x2A8D::0x1301::MY57212367::0::INSTR,,,,,,,,,,
Start Time,2022-11-30 11:44:30.995,,,,,,,,,,
Stop Time,2022-11-30 12:01:00.885,,,,,,,,,,
,,,,,,,,,,,
Time,Step,1 - Set CH1 On/Off,1 - Set CH2 On/Off,1 - Sweep CH2 Voltage Setting,1 - Get CH2 Voltage Setting,1 - Get CH2 Current Measurement,1 - Sweep CH1 Voltage Setting,2 - Get Measurement Value,3 - Get Measurement Value,1 - Set CH1 On/Off,1 - Set CH2 On/Off ()
2022-11-30 11:44:34.255,1,1,,,,,,,,,
2022-11-30 11:44:35.677,2,,1,,,,,,,,
2022-11-30 11:44:40.399,3,,,0,0,-9.845227E-05,,,,,
2022-11-30 11:44:43.075,4,,,0,,,0,0.000132683921,-1.24462423E-09,,
2022-11-30 11:44:45.330,5,,,0,,,0.05,-0.049819546,3.3377515E-09,,
2022-11-30 11:44:47.579,6,,,0,,,0.1,-0.09948848,8.562188E-09,,
2022-11-30 11:44:50.107,7,,,0,,,0.15,-0.149442535,1.30483465E-08,,
2022-11-30 11:44:52.322,8,,,0,,,0.2,-0.199470033,1.82681903E-08,,
2022-11-30 11:44:54.506,9,,,0,,,0.25,-0.249417107,2.29908733E-08,,
2022-11-30 11:44:56.783,10,,,0,,,0.3,-0.299428927,2.92672698E-08,,
2022-11-30 11:44:59.017,11,,,0,,,0.35,-0.349357834,3.2680801E-08,,
2022-11-30 11:45:01.215,12,,,0,,,0.4,-0.399409502,3.84526885E-08,,
2022-11-30 11:45:03.386,13,,,0,,,0.45,-0.449358378,4.29905149E-08,,
2022-11-30 11:45:05.638,14,,,0,,,0.5,-0.499357293,4.84195566E-08,,
2022-11-30 11:45:07.873,15,,,0,,,0.55,-0.549307397,5.29413086E-08,,
2022-11-30 11:45:09.992,16,,,0,,,0.6,-0.599339046,5.83786172E-08,,
2022-11-30 11:45:12.207,17,,,0,,,0.65,-0.649185646,6.17994967E-08,,
2022-11-30 11:45:14.442,18,,,0,,,0.7,-0.699196882,6.86109439E-08,,
2022-11-30 11:45:16.556,19,,,0,,,0.75,-0.749155375,7.30227005E-08,,
2022-11-30 11:45:18.796,20,,,0,,,0.8,-0.799187664,7.71262863E-08,,
2022-11-30 11:45:21.053,21,,,0,,,0.85,-0.849140422,8.27227323E-08,,
2022-11-30 11:45:23.198,22,,,0,,,0.9,-0.898873336,8.7979777E-08,,
2022-11-30 11:45:25.428,23,,,0,,,0.95,-0.948827596,9.27789286E-08,,
2022-11-30 11:45:27.664,24,,,0,,,1,-0.998773651,9.69768946E-08,,
2022-11-30 11:45:29.899,25,,,0,,,1.05,-1.04882154,1.02664276E-07,,
2022-11-30 11:45:32.013,26,,,0,,,1.1,-1.09877776,1.08023509E-07,,
2022-11-30 11:45:34.254,27,,,0,,,1.15,-1.14849413,1.13199722E-07,,
2022-11-30 11:45:36.486,28,,,0,,,1.2,-1.19842412,1.17341427E-07,,
2022-11-30 11:45:38.996,29,,,0,,,1.25,-1.24848771,1.2333009E-07,,
2022-11-30 11:45:41.240,30,,,0,,,1.3,-1.29847776,1.28951107E-07,,
2022-11-30 11:45:43.376,31,,,0,,,1.35,-1.34844132,1.32371298E-07,,
2022-11-30 11:45:45.595,32,,,0,,,1.4,-1.39840613,1.37829044E-07,,
2022-11-30 11:45:47.832,33,,,0,,,1.45,-1.44844232,1.43387371E-07,,
2022-11-30 11:45:50.045,34,,,0,,,1.5,-1.49840454,1.48862569E-07,,
2022-11-30 11:45:52.173,35,,,0,,,1.55,-1.54838441,1.52674747E-07,,
2022-11-30 11:45:54.391,36,,,0,,,1.6,-1.59832277,1.5619437E-07,,
