Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
Serial Number:,MY56272288,,-0.05,0.31055281450972,-0.608040183782578,
Firmware Version:,02.41.2015102200,,-0.0498992,0.31055281450972,0.618090456351638,
Start Time:,2022-11-30 13:21:00.392,,-0.0497984,0.31055281450972,0.618090456351638,
,,,-0.0496976,0.31055281450972,0.63819095864892,
Analog Sample Count:,992,,-0.0495968,0.31055281450972,0.618090456351638,
Function Sample Count:,0,,-0.049496,-0.401005049236119,-0.587939681485295,
Waveform Memory Sample Count:,0,,-0.0493952,-0.401005049236119,-0.62814068607986,
Digital Sample Count:,0,,-0.0492944,-0.401005049236119,-0.648241188377142,
,,,-0.0491936,-0.396984948311001,-0.648241188377142,
Setup Text Information:,,,-0.0490928,-0.392964847385883,-0.648241188377142,
ANALOG,,,-0.048992,0.31055281450972,-0.567839179188013,
Channel 1,,,-0.0488912,0.31055281450972,0.63819095864892,
Scale,100 mV/,,-0.0487904,0.31055281450972,0.63819095864892,
Pos,-200 mV,,-0.0486896,0.31055281450972,0.618090456351638,
Coup,,,-0.0485888,0.31055281450972,0.63819095864892,
BW,Off,,-0.048488,-0.401005049236119,-0.608040183782578,
Inv,Off,,-0.0483872,-0.401005049236119,-0.648241188377142,
Imp,1M Ohm,,-0.0482864,-0.396984948311001,-0.648241188377142,
Trace Label,1,,-0.0481856,-0.396984948311001,-0.648241188377142,
Probe,2,,-0.0480848,-0.392964847385883,-0.648241188377142,
Skew,0 s,,-0.047984,0.31055281450972,-0.467336667701602,
,,,-0.0478832,0.31055281450972,0.63819095864892,
Channel 3,,,-0.0477824,0.31055281450972,0.63819095864892,
Scale,500 mV/,,-0.0476816,0.31055281450972,0.618090456351638,
Pos,1 V,,-0.0475808,0.31055281450972,0.63819095864892,
Coup,,,-0.04748,-0.401005049236119,-0.608040183782578,
BW,Off,,-0.0473792,-0.401005049236119,-0.648241188377142,
Inv,Off,,-0.0472784,-0.401005049236119,-0.62814068607986,
Imp,1M Ohm,,-0.0471776,-0.396984948311001,-0.648241188377142,
Trace Label,3,,-0.0470768,-0.396984948311001,-0.648241188377142,
Probe,10,,-0.046976,0.31055281450972,0.336683424189687,
Skew,0 s,,-0.0468752,0.31055281450972,0.618090456351638,
,,,-0.0467744,0.31055281450972,0.618090456351638,
MATH,,,-0.0466736,0.31055281450972,0.63819095864892,
REFERENCE WAVEFORM,,,-0.0465728,0.31055281450972,0.618090456351638,
TRIGGER,,,-0.046472,-0.405025150161237,-0.62814068607986,
Sweep Mode,AUTO,,-0.0463712,-0.401005049236119,-0.648241188377142,
Coup,DC,,-0.0462704,-0.401005049236119,-0.648241188377142,
Noise Rej,Off,,-0.0461696,-0.396984948311001,-0.648241188377142,
HF Rej,Off,,-0.0460688,-0.392964847385883,-0.62814068607986,
Holdoff,40.0 ns,,-0.045968,0.31055281450972,0.537688447162509,
Mode,EDGE,,-0.0458672,0.31055281450972,0.618090456351638,
Source,CHAN1,,-0.0457664,0.31055281450972,0.618090456351638,
Slope,POS,,-0.0456656,0.31055281450972,0.618090456351638,
Level,6.8 mV V,,-0.0455648,0.31055281450972,0.63819095864892,
,,,-0.045464,-0.401005049236119,-0.62814068607986,
HORIZONTAL,,,-0.0453632,-0.401005049236119,-0.648241188377142,
Mode,MAIN,,-0.0452624,-0.396984948311001,-0.648241188377142,
Ref,CENT,,-0.0451616,-0.392964847385883,-0.648241188377142,
Main Scale,10 ms/,,-0.0450608,-0.392964847385883,-0.648241188377142,
Main Delay,0 s,,-0.04496,0.31055281450972,0.577889451757073,
,,,-0.0448592,0.31055281450972,0.618090456351638,
ACQUISITION,,,-0.0447584,0.31055281450972,0.63819095864892,
Mode,NORM,,-0.0446576,0.31055281450972,0.618090456351638,
RealTime,On,,-0.0445568,0.31055281450972,0.618090456351638,
Vectors,On,,-0.044456,-0.405025150161237,-0.62814068607986,
Persistence,Off,,-0.0443552,-0.401005049236119,-0.648241188377142,
,,,-0.0442544,-0.396984948311001,-0.648241188377142,
MEASUREMENTS,,,-0.0441536,-0.396984948311001,-0.648241188377142,
Amplitude(3),,,-0.0440528,-0.392964847385883,-0.648241188377142,
Cur,1.27 V,,-0.043952,0.31055281450972,0.597989954054356,
,,,-0.0438512,0.31055281450972,0.63819095864892,
Pk-Pk(4),,,-0.0437504,0.31055281450972,0.618090456351638,
Cur,No signal,,-0.0436496,0.31055281450972,0.618090456351638,
,,,-0.0435488,0.31055281450972,0.63819095864892,
Pk-Pk(1),,,-0.043448,-0.405025150161237,-0.62814068607986,
Cur,No signal,,-0.0433472,-0.401005049236119,-0.648241188377142,
