x-axis,1,3,F1
second,Volt,Volt,Volt
+499.8380000E-06,,,
+499.8385000E-06,+4.1681853608152E+00,+3.8414574981432E+00,+326.5146017077E-03
+499.8390000E-06,+4.1671842615800E+00,+3.8419089742696E+00,+325.0688314437E-03
+499.8395000E-06,+4.1668113030405E+00,+3.8417715684912E+00,+324.8399496081E-03
+499.8400000E-06,+4.1679694374504E+00,+3.8429100735050E+00,+324.8590230937E-03
+499.8405000E-06,+4.1680479550381E+00,+3.8432437732492E+00,+324.5843648920E-03
+499.8410000E-06,+4.1672824085641E+00,+3.8433026614413E+00,+323.7756490702E-03
+499.8415000E-06,+4.1667524148506E+00,+3.8432045144550E+00,+323.3636617674E-03
+499.8420000E-06,+4.1670272264050E+00,+3.8430671086812E+00,+323.7832784625E-03
+499.8425000E-06,+4.1671057439931E+00,+3.8417126803007E+00,+325.2176046384E-03
+499.8430000E-06,+4.1668898206278E+00,+3.8418304566830E+00,+324.8590230931E-03
+499.8435000E-06,+4.1672038909761E+00,+3.8415752745234E+00,+325.4121541980E-03
+499.8440000E-06,+4.1680675844328E+00,+3.8412415747806E+00,+326.6290426219E-03
+499.8445000E-06,+4.1689509072894E+00,+3.8400834403700E+00,+328.6813497536E-03
+499.8450000E-06,+4.1678516610732E+00,+3.8401423285583E+00,+327.5026083037E-03
+499.8455000E-06,+4.1671253733872E+00,+3.8413593511574E+00,+325.5456686020E-03
+499.8460000E-06,+4.1684209135751E+00,+3.8422426740144E+00,+325.9729146943E-03
+499.8465000E-06,+4.1689509072894E+00,+3.8433419202299E+00,+325.4274129907E-03
+499.8470000E-06,+4.1678516610742E+00,+3.8442056136940E+00,+323.4590291998E-03
+499.8475000E-06,+4.1668505618329E+00,+3.8436363611849E+00,+323.0050802220E-03
+499.8480000E-06,+4.1669683382169E+00,+3.8432634026490E+00,+323.5086202615E-03
+499.8485000E-06,+4.1660261271718E+00,+3.8428315559164E+00,+323.0203390152E-03
+499.8490000E-06,+4.1646716987963E+00,+3.8424978561757E+00,+321.9941854483E-03
+499.8495000E-06,+4.1645735518040E+00,+3.8414771275409E+00,+322.9173421807E-03
+499.8500000E-06,+4.1655353922520E+00,+3.8408882456391E+00,+324.4584798806E-03
+499.8505000E-06,+4.1665561208757E+00,+3.8402208461473E+00,+326.1522054592E-03
+499.8510000E-06,+4.1687349839226E+00,+3.8399067757990E+00,+328.6432027788E-03
+499.8515000E-06,+4.1692649776378E+00,+3.8397301112273E+00,+329.3298482895E-03
+499.8520000E-06,+4.1691275718612E+00,+3.8401423285571E+00,+328.7957906755E-03
+499.8525000E-06,+4.1688135015128E+00,+3.8416341627085E+00,+326.9876241753E-03
+499.8530000E-06,+4.1684994311645E+00,+3.8421837858284E+00,+326.1064290965E-03
+499.8535000E-06,+4.1680479550396E+00,+3.8415752745223E+00,+326.2666463889E-03
+499.8540000E-06,+4.1681068432253E+00,+3.8413789805600E+00,+326.5069723064E-03
+499.8545000E-06,+4.1689116484939E+00,+3.8410845396018E+00,+327.6094198236E-03
+499.8550000E-06,+4.1687153545321E+00,+3.8413397217648E+00,+327.1707296391E-03
+499.8555000E-06,+4.1677338846914E+00,+3.8408489868444E+00,+326.6938924799E-03
+499.8560000E-06,+4.1682049902057E+00,+3.8405349164961E+00,+327.4835348056E-03
+499.8565000E-06,+4.1694023834141E+00,+3.8411826865821E+00,+328.0252218301E-03
+499.8570000E-06,+4.1698538595388E+00,+3.8422426740144E+00,+327.3996114709E-03
+499.8575000E-06,+4.1696575655778E+00,+3.8429297028959E+00,+326.5146017176E-03
+499.8580000E-06,+4.1688135015131E+00,+3.8434008084276E+00,+325.2023458458E-03
+499.8585000E-06,+4.1682246196123E+00,+3.8420463800538E+00,+325.9729146920E-03
+499.8590000E-06,+4.1676946258958E+00,+3.8413986099495E+00,+326.0949850120E-03
+499.8595000E-06,+4.1674198143435E+00,+3.8415163863375E+00,+325.7058858857E-03
+499.8600000E-06,+4.1670664851990E+00,+3.8408489868447E+00,+326.0453939425E-03
+499.8605000E-06,+4.1673412967513E+00,+3.8409471338247E+00,+326.2170553207E-03
+499.8610000E-06,+4.1678320316719E+00,+3.8415752745214E+00,+326.0835409177E-03
+499.8615000E-06,+4.1684209135724E+00,+3.8413789805618E+00,+326.8731832409E-03
+499.8620000E-06,+4.1684012841853E+00,+3.8408097280485E+00,+327.4148702692E-03
+499.8625000E-06,+4.1683816547758E+00,+3.8412612041728E+00,+326.9227743107E-03
+499.8630000E-06,+4.1684405429820E+00,+3.8416145333176E+00,+326.6099691478E-03
+499.8635000E-06,+4.1673805555474E+00,+3.8407900986620E+00,+326.3734578997E-03
+499.8640000E-06,+4.1676553670993E+00,+3.8405545458827E+00,+326.9037008344E-03
+499.8645000E-06,+4.1674590731407E+00,+3.8416145333176E+00,+325.6562948290E-03
+499.8650000E-06,+4.1666150090748E+00,+3.8420267506452E+00,+324.4012594284E-03
+499.8655000E-06,+4.1663009387264E+00,+3.8421445270353E+00,+323.9816427200E-03
+499.8660000E-06,+4.1658494626023E+00,+3.8420267506450E+00,+323.6306905829E-03
