x-axis,1,3,F1
second,Volt,Volt,Volt
-103.0000E-09,-73.3543236565E-03,-98.0839169497E-03,+24.6032476425E-03
-102.5000E-09,-73.2758060694E-03,-98.3194697110E-03,+24.9084234238E-03
-102.0000E-09,-74.2965347017E-03,-99.0261279949E-03,+24.6032476425E-03
-101.5000E-09,-73.5898764178E-03,-99.1046455820E-03,+25.3814458847E-03
-101.0000E-09,-72.9617357210E-03,-98.6335400594E-03,+25.5492925644E-03
-100.5000E-09,-73.3543236565E-03,-96.5135652077E-03,+23.0163335800E-03
-100.0000E-09,-73.7469115920E-03,-96.4350476206E-03,+22.5585699081E-03
-99.5000E-09,-73.2758060694E-03,-96.5920827948E-03,+23.1841802597E-03
-99.0000E-09,-72.7261829597E-03,-98.2409521239E-03,+25.3814458847E-03
-98.5000E-09,-73.0402533081E-03,-99.5757511046E-03,+26.4190435410E-03
-98.0000E-09,-72.4121126113E-03,-99.3401983433E-03,+26.8005132675E-03
-97.5000E-09,-71.9410070888E-03,-99.4187159304E-03,+27.3345708847E-03
-97.0000E-09,-72.0980422630E-03,-99.8113038659E-03,+27.5634527206E-03
-96.5000E-09,-72.7261829597E-03,-100.3609269756E-03,+27.4871587753E-03
-96.0000E-09,-73.1972884823E-03,-100.7535149110E-03,+27.4108648300E-03
-95.5000E-09,-73.1972884823E-03,-100.9105500852E-03,+27.5634527206E-03
-95.0000E-09,-73.2758060694E-03,-100.0468566272E-03,+26.6479253769E-03
-94.5000E-09,-73.4328412436E-03,-100.2038918014E-03,+26.6479253769E-03
-94.0000E-09,-73.0402533081E-03,-99.8113038659E-03,+26.6479253769E-03
-93.5000E-09,-72.5691477855E-03,-98.9476104078E-03,+26.2511968613E-03
-93.0000E-09,-72.4906301984E-03,-97.6128114271E-03,+24.9847173691E-03
-92.5000E-09,-72.1765598500E-03,-97.3772586658E-03,+25.0610113144E-03
-92.0000E-09,-71.7054543275E-03,-98.0839169497E-03,+26.2206792831E-03
-91.5000E-09,-71.0773136307E-03,-97.8483641884E-03,+26.6326665878E-03
-91.0000E-09,-71.6269367404E-03,-97.6913290142E-03,+25.9155035019E-03
-90.5000E-09,-72.7261829597E-03,-99.4972335175E-03,+26.6479253769E-03
-90.0000E-09,-73.1972884823E-03,-100.2038918014E-03,+26.8768072128E-03
-89.5000E-09,-73.0402533081E-03,-100.6749973239E-03,+27.4871587753E-03
-89.0000E-09,-72.5691477855E-03,-99.6542686917E-03,+26.9378423691E-03
-88.5000E-09,-72.6476653726E-03,-98.9476104078E-03,+26.1443853378E-03
-88.0000E-09,-72.8047005468E-03,-99.9683390401E-03,+27.0446538925E-03
-87.5000E-09,-72.6476653726E-03,-100.7535149110E-03,+27.9906988144E-03
-87.0000E-09,-72.8047005468E-03,-100.1253742143E-03,+27.1819829941E-03
-86.5000E-09,-72.7261829597E-03,-99.0261279949E-03,+26.1596441269E-03
-86.0000E-09,-73.1972884823E-03,-97.2202234916E-03,+23.8708257675E-03
-85.5000E-09,-73.1972884823E-03,-97.2202234916E-03,+23.9013433456E-03
-85.0000E-09,-73.4328412436E-03,-96.8276355561E-03,+23.2452154160E-03
-84.5000E-09,-74.2965347017E-03,-97.6913290142E-03,+23.2452154160E-03
