x-axis,1,3,F1
second,Volt,Volt,Volt
-519.8530E-06,+4.1799433695E+00,+3.8136622723E+00,+366.0644293E-03
-519.3330E-06,+4.1802340549E+00,+3.8136388873E+00,+366.3696051E-03
-518.8130E-06,+4.1798697342E+00,+3.8139027074E+00,+365.7592535E-03
-518.2930E-06,+4.1800672551E+00,+3.8139763427E+00,+365.8796307E-03
-517.7730E-06,+4.1799433695E+00,+3.8138364083E+00,+365.8952249E-03
-517.2530E-06,+4.1799433695E+00,+3.8135725882E+00,+366.1515735E-03
-516.7330E-06,+4.1799433695E+00,+3.8140157764E+00,+365.7209365E-03
-516.2130E-06,+4.1799433695E+00,+3.8139871592E+00,+365.7487432E-03
-515.6930E-06,+4.1799433695E+00,+3.8137233392E+00,+366.0050918E-03
-515.1730E-06,+4.1800546867E+00,+3.8137735896E+00,+366.0644293E-03
-514.6530E-06,+4.1799433695E+00,+3.8139763427E+00,+365.7592535E-03
-514.1330E-06,+4.1800456219E+00,+3.8138740902E+00,+365.9579668E-03
-513.6130E-06,+4.1799433695E+00,+3.8137662765E+00,+365.9633705E-03
-513.0930E-06,+4.1796310509E+00,+3.8136640241E+00,+365.7592535E-03
-512.5730E-06,+4.1796292991E+00,+3.8137592694E+00,+365.6650034E-03
-512.0530E-06,+4.1796292991E+00,+3.8138775938E+00,+365.5500300E-03
-511.5330E-06,+4.1799433695E+00,+3.8138112715E+00,+365.9196498E-03
-511.0130E-06,+4.1799433695E+00,+3.8137770931E+00,+365.9528602E-03
-510.4930E-06,+4.1799433695E+00,+3.8134127725E+00,+366.3068632E-03
-509.9730E-06,+4.1799290493E+00,+3.8133625221E+00,+366.3417758E-03
-509.4530E-06,+4.1796292991E+00,+3.8139404125E+00,+365.4889903E-03
-508.9330E-06,+4.1796292991E+00,+3.8136622723E+00,+365.7592535E-03
-508.4130E-06,+4.1797657299E+00,+3.8138399118E+00,+365.7192118E-03
-507.8930E-06,+4.1798159803E+00,+3.8138489535E+00,+365.7592535E-03
-507.3730E-06,+4.1799433695E+00,+3.8137394112E+00,+365.9894750E-03
-506.8530E-06,+4.1796561877E+00,+3.8139763427E+00,+365.4802048E-03
-506.3330E-06,+4.1793619523E+00,+3.8136622723E+00,+365.4994781E-03
-505.8130E-06,+4.1796292991E+00,+3.8136622723E+00,+365.7592535E-03
-505.2930E-06,+4.1798195070E+00,+3.8134720644E+00,+366.1288958E-03
-504.7730E-06,+4.1796292991E+00,+3.8135223147E+00,+365.8952474E-03
-504.2530E-06,+4.1798536622E+00,+3.8134379092E+00,+366.1952716E-03
-503.7330E-06,+4.1802179829E+00,+3.8134271158E+00,+366.5597624E-03
-503.2130E-06,+4.1799433695E+00,+3.8142904130E+00,+365.4540777E-03
-502.6930E-06,+4.1799433695E+00,+3.8137233160E+00,+366.0051143E-03
-502.1730E-06,+4.1796292991E+00,+3.8137735664E+00,+365.6511113E-03
-501.6530E-06,+4.1797818251E+00,+3.8138147983E+00,+365.7592535E-03
-501.1330E-06,+4.1796292991E+00,+3.8134577210E+00,+365.9580118E-03
-500.6130E-06,+4.1796813244E+00,+3.8137142976E+00,+365.7592535E-03
-500.0930E-06,+4.1615402545E+00,+3.7983052294E+00,+363.0018299E-03
-499.5730E-06,-86.4346797E-03,-65.5639880E-03,-20.9263266E-03
-499.0530E-06,-91.6287134E-03,-68.5613042E-03,-23.1218675E-03
-498.5330E-06,-87.2982175E-03,-67.2889045E-03,-20.0893424E-03
-498.0130E-06,-83.1326956E-03,-64.8768423E-03,-18.3245061E-03
-497.4930E-06,-80.4209065E-03,-62.1507099E-03,-18.3384432E-03
-496.9730E-06,-79.1359384E-03,-60.0383747E-03,-19.1423790E-03
-496.4530E-06,-77.9083437E-03,-57.3265856E-03,-20.6455757E-03
-495.9330E-06,-77.0522900E-03,-55.8567345E-03,-21.2419901E-03
-495.4130E-06,-76.4743996E-03,-54.7422089E-03,-21.7899366E-03
