x-axis,1,3,F1
second,Volt,Volt,Volt
+989.30000E-06,,,
+989.31400E-06,,,
+989.32800E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.34200E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.35600E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.37000E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.38400E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.39800E-06,-2.06855272874E+00,-1.43063439149E+00,-642.71258864E-03
+989.41200E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.42600E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.44000E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.45400E-06,-1.94794971496E+00,-1.41817208007E+00,-534.59857414E-03
+989.46800E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.48200E-06,-1.94794971496E+00,-1.41817208007E+00,-534.59857414E-03
+989.49600E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.51000E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.52400E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.53800E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.55200E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.56600E-06,-2.02835172415E+00,-1.43063439149E+00,-602.52460005E-03
+989.58000E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.59400E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.60800E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.62200E-06,-1.98815071956E+00,-1.41817208007E+00,-574.78656274E-03
+989.63600E-06,-2.02835172415E+00,-1.43063439150E+00,-602.52460005E-03
+989.65000E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.66400E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.67800E-06,-1.94794971496E+00,-1.44309670292E+00,-509.69867160E-03
+989.69200E-06,-1.98815071954E+00,-1.41817208007E+00,-574.78656271E-03
+989.70600E-06,-1.94794971496E+00,-1.41817208007E+00,-534.59857414E-03
+989.72000E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.73400E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.74800E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.76200E-06,-1.94794971496E+00,-1.44309670292E+00,-509.69867160E-03
+989.77600E-06,-1.94794971496E+00,-1.44309670292E+00,-509.69867160E-03
+989.79000E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.80400E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.81800E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.83200E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.84600E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.86000E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.87400E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.88800E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+989.90200E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.91600E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.93000E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.94400E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.95800E-06,-1.94794971496E+00,-1.41817208007E+00,-534.59857414E-03
+989.97200E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+989.98600E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+990.00000E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+990.01400E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+990.02800E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+990.04200E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+990.05600E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+990.07000E-06,-2.02835172415E+00,-1.43063439148E+00,-602.52460006E-03
+990.08400E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
+990.09800E-06,-2.02835172415E+00,-1.44309670292E+00,-590.07464878E-03
+990.11200E-06,-2.02835172415E+00,-1.41817208007E+00,-614.97455132E-03
