x-axis,1,2,F1
second,Volt,Volt,Volt
-699.9680E-06,+4.1919308293E+00,+4.0686545142E+00,+123.2732935E-03
-699.2680E-06,+4.1916216412E+00,+4.0689134518E+00,+122.6770945E-03
-698.5680E-06,+4.1919308293E+00,+4.0689588201E+00,+122.9539507E-03
-697.8680E-06,+4.1918079967E+00,+4.0689134518E+00,+122.8726585E-03
-697.1680E-06,+4.1919308293E+00,+4.0689357833E+00,+122.9781258E-03
-696.4680E-06,+4.1921269493E+00,+4.0687173318E+00,+123.4131830E-03
-695.7680E-06,+4.1919308293E+00,+4.0688457520E+00,+123.0726059E-03
-695.0680E-06,+4.1919308293E+00,+4.0688960025E+00,+123.0198722E-03
-694.3680E-06,+4.1919308293E+00,+4.0688806504E+00,+123.0359830E-03
-693.6680E-06,+4.1920138812E+00,+4.0689134518E+00,+123.0887166E-03
-692.9680E-06,+4.1917500614E+00,+4.0690942196E+00,+122.6601001E-03
-692.2680E-06,+4.1916167590E+00,+4.0689134518E+00,+122.6719709E-03
-691.5680E-06,+4.1919308293E+00,+4.0689134518E+00,+123.0015608E-03
-690.8680E-06,+4.1922148835E+00,+4.0689134518E+00,+123.2996512E-03
-690.1680E-06,+4.1919308293E+00,+4.0689134518E+00,+123.0015608E-03
-689.4680E-06,+4.1919308293E+00,+4.0684262810E+00,+123.5128047E-03
-688.7680E-06,+4.1919308293E+00,+4.0689134518E+00,+123.0015608E-03
-688.0680E-06,+4.1917877450E+00,+4.0687703675E+00,+123.0015608E-03
-687.3680E-06,+4.1917095926E+00,+4.0685993814E+00,+123.0989818E-03
-686.6680E-06,+4.1922023165E+00,+4.0688708686E+00,+123.3311506E-03
-685.9680E-06,+4.1919231619E+00,+4.0685993814E+00,+123.3231043E-03
-685.2680E-06,+4.1919308293E+00,+4.0685993814E+00,+123.3311506E-03
-684.5680E-06,+4.1919308293E+00,+4.0688052832E+00,+123.1150744E-03
-683.8680E-06,+4.1917751781E+00,+4.0686021494E+00,+123.1649033E-03
-683.1680E-06,+4.1916167590E+00,+4.0684939808E+00,+123.1121697E-03
-682.4680E-06,+4.1918756792E+00,+4.0687096815E+00,+123.1690999E-03
-681.7680E-06,+4.1919259298E+00,+4.0685944819E+00,+123.3311506E-03
-681.0680E-06,+4.1916621100E+00,+4.0686447325E+00,+123.0015608E-03
-680.3680E-06,+4.1917123606E+00,+4.0685037798E+00,+123.2022122E-03
-679.6680E-06,+4.1917626112E+00,+4.0685993814E+00,+123.1546201E-03
-678.9680E-06,+4.1918128617E+00,+4.0685993814E+00,+123.2073538E-03
-678.2680E-06,+4.1916167590E+00,+4.0685993814E+00,+123.0015608E-03
-677.5680E-06,+4.1916167590E+00,+4.0686168479E+00,+122.9832312E-03
-676.8680E-06,+4.1919308293E+00,+4.0683180952E+00,+123.6263364E-03
-676.1680E-06,+4.1918477946E+00,+4.0685993814E+00,+123.2440129E-03
-675.4680E-06,+4.1916167590E+00,+4.0685993814E+00,+123.0015608E-03
-674.7680E-06,+4.1918002948E+00,+4.0687829172E+00,+123.0015608E-03
-674.0680E-06,+4.1918505453E+00,+4.0685993814E+00,+123.2468995E-03
-673.3680E-06,+4.1919007959E+00,+4.0688834184E+00,+123.0015608E-03
-672.6680E-06,+4.1916369761E+00,+4.0685993814E+00,+123.0227770E-03
-671.9680E-06,+4.1918603616E+00,+4.0685993814E+00,+123.2572008E-03
-671.2680E-06,+4.1916167590E+00,+4.0685993814E+00,+123.0015608E-03
-670.5680E-06,+4.1916167590E+00,+4.0685993814E+00,+123.0015608E-03
-669.8680E-06,+4.1915239080E+00,+4.0685993814E+00,+122.9041217E-03
-669.1680E-06,+4.1915741586E+00,+4.0685993814E+00,+122.9568554E-03
-668.4680E-06,+4.1919308293E+00,+4.0685993814E+00,+123.3311506E-03
-667.7680E-06,+4.1916167590E+00,+4.0686572822E+00,+122.9407989E-03
-667.0680E-06,+4.1914108400E+00,+4.0686971491E+00,+122.7260866E-03
-666.3680E-06,+4.1914610905E+00,+4.0684409795E+00,+123.0044293E-03
-665.6680E-06,+4.1918254114E+00,+4.0685993814E+00,+123.2205236E-03
-664.9680E-06,+4.1918756620E+00,+4.0686545487E+00,+123.2153640E-03
-664.2680E-06,+4.1916216757E+00,+4.0689085350E+00,+122.6822903E-03
