x-axis,1,2,F1
second,Volt,Volt,Volt
+499.750000E-06,+4.194198024627E+00,+4.071592864419E+00,+122.585858189E-03
+499.751000E-06,+4.193039890218E+00,+4.071573235023E+00,+121.448773183E-03
+499.752000E-06,+4.193520810439E+00,+4.071092314802E+00,+122.392224149E-03
+499.753000E-06,+4.194315801008E+00,+4.070797873850E+00,+123.469570993E-03
+499.754000E-06,+4.194924312308E+00,+4.070464174105E+00,+124.427441515E-03
+499.755000E-06,+4.195738932274E+00,+4.070169733153E+00,+125.556286774E-03
+499.756000E-06,+4.197495763286E+00,+4.069836033408E+00,+127.649182366E-03
+499.757000E-06,+4.197191507635E+00,+4.069041042839E+00,+128.137387341E-03
+499.758000E-06,+4.196514293447E+00,+4.068265681666E+00,+128.236264298E-03
+499.759000E-06,+4.195287456148E+00,+4.067971240715E+00,+127.296933205E-03
+499.760000E-06,+4.194148951136E+00,+4.068638640205E+00,+125.463589627E-03
+499.761000E-06,+4.194276542214E+00,+4.068726972490E+00,+125.504788359E-03
+499.762000E-06,+4.194296171611E+00,+4.069119560426E+00,+125.148419326E-03
+499.763000E-06,+4.195444491323E+00,+4.069521963060E+00,+125.892056442E-03
+499.764000E-06,+4.196160964305E+00,+4.069227522108E+00,+126.891125694E-03
+499.765000E-06,+4.196180593702E+00,+4.069561221853E+00,+126.561535838E-03
+499.766000E-06,+4.195994114432E+00,+4.069355113187E+00,+126.582135204E-03
+499.767000E-06,+4.195199123863E+00,+4.069247151505E+00,+125.896176314E-03
+499.768000E-06,+4.195424861926E+00,+4.070375841820E+00,+125.014523447E-03
+499.769000E-06,+4.195513194211E+00,+4.070778244453E+00,+124.715832639E-03
+499.770000E-06,+4.194570983166E+00,+4.070150103756E+00,+124.386242782E-03
+499.771000E-06,+4.193461922248E+00,+4.069855662805E+00,+123.566388013E-03
+499.772000E-06,+4.192873040345E+00,+4.070022512678E+00,+122.804211470E-03
+499.773000E-06,+4.194207839327E+00,+4.070336583026E+00,+123.840359583E-03
+499.774000E-06,+4.194551353769E+00,+4.070150103756E+00,+124.365643416E-03
+499.775000E-06,+4.194649500754E+00,+4.069521963059E+00,+125.092801039E-03
+499.776000E-06,+4.195886152750E+00,+4.069394371981E+00,+126.458539008E-03
+499.777000E-06,+4.194993015196E+00,+4.068707343093E+00,+126.246365537E-03
+499.778000E-06,+4.194983200499E+00,+4.068972339951E+00,+125.988873462E-03
+499.779000E-06,+4.195346344338E+00,+4.070689912169E+00,+124.637555047E-03
+499.780000E-06,+4.194423762690E+00,+4.072093414038E+00,+122.293347191E-03
+499.781000E-06,+4.194296171611E+00,+4.071180647086E+00,+123.078183040E-03
+499.782000E-06,+4.193609142723E+00,+4.069688812932E+00,+123.895977870E-03
+499.783000E-06,+4.193540439836E+00,+4.070042142075E+00,+123.483990550E-03
+499.784000E-06,+4.194629871357E+00,+4.070984353120E+00,+123.638485795E-03
+499.785000E-06,+4.196072632021E+00,+4.071592864420E+00,+124.443921008E-03
+499.786000E-06,+4.195287456147E+00,+4.071406385150E+00,+123.823880088E-03
+499.787000E-06,+4.193982101263E+00,+4.070778244453E+00,+123.175000059E-03
+499.788000E-06,+4.193962471866E+00,+4.070483803502E+00,+123.463391183E-03
+499.789000E-06,+4.193982101263E+00,+4.070817503247E+00,+123.133801326E-03
+499.790000E-06,+4.194963571103E+00,+4.070945094326E+00,+123.994854829E-03
+499.791000E-06,+4.195199123862E+00,+4.071298423468E+00,+123.875378503E-03
+499.792000E-06,+4.194757462436E+00,+4.071573235022E+00,+123.154400693E-03
+499.793000E-06,+4.195258012054E+00,+4.071926564165E+00,+123.308895938E-03
+499.794000E-06,+4.195699673481E+00,+4.071033426610E+00,+124.639614987E-03
+499.795000E-06,+4.195365973735E+00,+4.069188263314E+00,+126.128949151E-03
+499.796000E-06,+4.194570983165E+00,+4.069600480648E+00,+124.936245854E-03
+499.797000E-06,+4.193795621993E+00,+4.069482704265E+00,+124.303845319E-03
+499.798000E-06,+4.193167481296E+00,+4.069099931030E+00,+124.050473115E-03
+499.799000E-06,+4.193206740091E+00,+4.069708442329E+00,+123.483990550E-03
+499.800000E-06,+4.194335430406E+00,+4.070689912169E+00,+123.638485795E-03
+499.801000E-06,+4.195572082402E+00,+4.070424915310E+00,+125.109280533E-03
+499.802000E-06,+4.195513194211E+00,+4.070042142075E+00,+125.426510767E-03
+499.803000E-06,+4.194570983165E+00,+4.069816404010E+00,+124.736432006E-03
+499.804000E-06,+4.193128222502E+00,+4.070562321091E+00,+122.544659454E-03
+499.805000E-06,+4.193245998886E+00,+4.071239535277E+00,+121.980236830E-03
+499.806000E-06,+4.194463021484E+00,+4.069963624486E+00,+124.464520376E-03
+499.807000E-06,+4.194590612563E+00,+4.069227522108E+00,+125.309094381E-03
+499.808000E-06,+4.193775992596E+00,+4.069561221854E+00,+124.174069310E-03
+499.809000E-06,+4.193854510185E+00,+4.070523062296E+00,+123.308895938E-03
+499.810000E-06,+4.194943941706E+00,+4.069777145215E+00,+125.129879900E-03
+499.811000E-06,+4.195886152751E+00,+4.067931981920E+00,+127.927273809E-03
+499.812000E-06,+4.195660414686E+00,+4.067176250145E+00,+128.452557640E-03
+499.813000E-06,+4.195238382657E+00,+4.068030128907E+00,+127.148617769E-03
+499.814000E-06,+4.195218753259E+00,+4.068579752014E+00,+126.582135204E-03
+499.815000E-06,+4.196239481894E+00,+4.069453260173E+00,+126.736630449E-03
+499.816000E-06,+4.197436875096E+00,+4.071151202993E+00,+126.246365536E-03
+499.817000E-06,+4.195915596842E+00,+4.070905835531E+00,+124.973324713E-03
+499.818000E-06,+4.194109692341E+00,+4.069669183535E+00,+124.406842149E-03
+499.819000E-06,+4.194816350628E+00,+4.069060672235E+00,+125.716961832E-03
+499.820000E-06,+4.194198024624E+00,+4.069414001379E+00,+124.740551874E-03
+499.821000E-06,+4.193039890218E+00,+4.069855662805E+00,+123.154400693E-03
+499.822000E-06,+4.194188209931E+00,+4.069021413440E+00,+125.129879901E-03
+499.823000E-06,+4.194237283419E+00,+4.067784761444E+00,+126.421460148E-03
+499.824000E-06,+4.193501181042E+00,+4.068511049128E+00,+124.952725346E-03
+499.825000E-06,+4.194001730661E+00,+4.070542691694E+00,+123.411892767E-03
+499.826000E-06,+4.195778191071E+00,+4.071092314801E+00,+124.660214355E-03
+499.827000E-06,+4.196288555382E+00,+4.070297324231E+00,+125.968274095E-03
+499.828000E-06,+4.194698574243E+00,+4.070189362551E+00,+124.483059800E-03
+499.829000E-06,+4.193815251390E+00,+4.070316953629E+00,+123.483990550E-03
+499.830000E-06,+4.194482650882E+00,+4.069502333661E+00,+124.969204845E-03
+499.831000E-06,+4.195572082403E+00,+4.068246052268E+00,+127.298993145E-03
+499.832000E-06,+4.196013743829E+00,+4.067156620747E+00,+128.808926675E-03
+499.833000E-06,+4.196180593702E+00,+4.067716058559E+00,+128.436078147E-03
+499.834000E-06,+4.196494664051E+00,+4.068933081157E+00,+127.550305408E-03
+499.835000E-06,+4.195307085542E+00,+4.069561221854E+00,+125.714901889E-03
+499.836000E-06,+4.194796721231E+00,+4.070689912170E+00,+124.056652925E-03
+499.837000E-06,+4.194885053513E+00,+4.070925464928E+00,+123.902157680E-03
+499.838000E-06,+4.194276542214E+00,+4.071484902740E+00,+122.746533242E-03
+499.839000E-06,+4.194296171612E+00,+4.071200276481E+00,+123.057583676E-03
+499.840000E-06,+4.193275442976E+00,+4.070670282772E+00,+122.585858185E-03
+499.841000E-06,+4.192745449267E+00,+4.070778244452E+00,+121.939038098E-03
+499.842000E-06,+4.193187110694E+00,+4.070316953629E+00,+122.824810836E-03
+499.843000E-06,+4.193520810440E+00,+4.069502333661E+00,+123.994854830E-03
+499.844000E-06,+4.194148951136E+00,+4.068746601887E+00,+125.381192164E-03
+499.845000E-06,+4.194610241960E+00,+4.068766231284E+00,+125.813778850E-03
+499.846000E-06,+4.194757462436E+00,+4.069747701125E+00,+124.973324713E-03
+499.847000E-06,+4.194757462436E+00,+4.070650653375E+00,+124.056652925E-03
+499.848000E-06,+4.194924312309E+00,+4.071298423469E+00,+123.586987379E-03
+499.849000E-06,+4.194737833038E+00,+4.070905835530E+00,+123.799160851E-03
+499.850000E-06,+4.194109692341E+00,+4.070336583026E+00,+123.741482624E-03
+499.851000E-06,+4.194649500756E+00,+4.069482704263E+00,+125.129879903E-03
+499.852000E-06,+4.195385603132E+00,+4.068766231284E+00,+126.561535837E-03
+499.853000E-06,+4.194885053513E+00,+4.068913451760E+00,+125.916775679E-03
+499.854000E-06,+4.194943941706E+00,+4.068913451760E+00,+125.974453907E-03
+499.855000E-06,+4.195051903386E+00,+4.068412902140E+00,+126.582135204E-03
+499.856000E-06,+4.195925411547E+00,+4.068638640207E+00,+127.261914285E-03
+499.857000E-06,+4.195621155889E+00,+4.069561221854E+00,+126.044491744E-03
+499.858000E-06,+4.194109692341E+00,+4.069855662805E+00,+124.211148170E-03
+499.859000E-06,+4.194148951137E+00,+4.070189362551E+00,+123.902157680E-03
+499.860000E-06,+4.194777091833E+00,+4.070483803502E+00,+124.252346904E-03
+499.861000E-06,+4.195405232530E+00,+4.070650653375E+00,+124.736432006E-03
+499.862000E-06,+4.196533922846E+00,+4.071298423470E+00,+125.206097552E-03
+499.863000E-06,+4.197436875096E+00,+4.070738985656E+00,+126.674832355E-03
+499.864000E-06,+4.196416146459E+00,+4.070022512678E+00,+126.359662046E-03
+499.865000E-06,+4.194217654020E+00,+4.069669183534E+00,+124.489239610E-03
+499.866000E-06,+4.193520810440E+00,+4.069894921601E+00,+123.586987379E-03
+499.867000E-06,+4.193481551644E+00,+4.070650653375E+00,+122.818631024E-03
+499.868000E-06,+4.193854510186E+00,+4.070631023977E+00,+123.191479554E-03
+499.869000E-06,+4.194109692341E+00,+4.069649554136E+00,+124.427441517E-03
+499.870000E-06,+4.193648401517E+00,+4.069247151506E+00,+124.365643415E-03
+499.871000E-06,+4.193501181042E+00,+4.070542691696E+00,+122.921627853E-03
+499.872000E-06,+4.193834880788E+00,+4.071926564166E+00,+121.881359870E-03
+499.873000E-06,+4.193962471866E+00,+4.072368225592E+00,+121.551770013E-03
+499.874000E-06,+4.194482650883E+00,+4.072368225592E+00,+122.062634294E-03
+499.875000E-06,+4.195071532784E+00,+4.071200276480E+00,+123.840359587E-03
+499.876000E-06,+4.195405232530E+00,+4.071170832393E+00,+124.225567725E-03
+499.877000E-06,+4.194865424115E+00,+4.071219905878E+00,+123.638485795E-03
+499.878000E-06,+4.194296171612E+00,+4.069149004516E+00,+125.109280537E-03
+499.879000E-06,+4.193775992594E+00,+4.067804390841E+00,+125.916775678E-03
+499.880000E-06,+4.193520810440E+00,+4.068825119479E+00,+124.643734855E-03
+499.881000E-06,+4.193815251390E+00,+4.069855662805E+00,+123.902157680E-03
+499.882000E-06,+4.193314701771E+00,+4.070689912171E+00,+122.571438628E-03
+499.883000E-06,+4.193373589965E+00,+4.071092314800E+00,+122.237728907E-03
+499.884000E-06,+4.193982101264E+00,+4.070631023977E+00,+123.329495305E-03
+499.885000E-06,+4.194629871359E+00,+4.068982154642E+00,+125.634564373E-03
+499.886000E-06,+4.194737833037E+00,+4.068324569859E+00,+126.380261412E-03
+499.887000E-06,+4.194443392087E+00,+4.069580851253E+00,+124.818829467E-03
+499.888000E-06,+4.194276542214E+00,+4.071003982520E+00,+123.251217709E-03
+499.889000E-06,+4.193795621992E+00,+4.070905835529E+00,+122.876309253E-03
+499.890000E-06,+4.193668030915E+00,+4.069669183533E+00,+123.974255464E-03
+499.891000E-06,+4.194148951137E+00,+4.068893822362E+00,+125.226696920E-03
+499.892000E-06,+4.195110791580E+00,+4.068432531538E+00,+126.654232989E-03
+499.893000E-06,+4.196200223101E+00,+4.069786959923E+00,+126.380261412E-03
+499.894000E-06,+4.196641884526E+00,+4.070444544705E+00,+126.149548520E-03
+499.895000E-06,+4.196475034653E+00,+4.070189362552E+00,+126.246365535E-03
+499.896000E-06,+4.195994114431E+00,+4.070483803502E+00,+125.463589626E-03
+499.897000E-06,+4.195199123861E+00,+4.070817503248E+00,+124.349163920E-03
+499.898000E-06,+4.194423762689E+00,+4.069610295339E+00,+124.794110235E-03
+499.899000E-06,+4.193795621992E+00,+4.068952710556E+00,+124.798230099E-03
+499.900000E-06,+4.194001730662E+00,+4.070208991950E+00,+123.762081990E-03
+499.901000E-06,+4.193942842467E+00,+4.070964723723E+00,+122.973126268E-03
+499.902000E-06,+4.195336529649E+00,+4.070778244452E+00,+124.522198608E-03
+499.903000E-06,+4.196288555381E+00,+4.070150103755E+00,+126.091870290E-03
+499.904000E-06,+4.195032273987E+00,+4.071357311665E+00,+123.642605658E-03
+499.905000E-06,+4.195110791581E+00,+4.072348596194E+00,+122.742413376E-03
+499.906000E-06,+4.195532823607E+00,+4.072387854990E+00,+123.113201958E-03
+499.907000E-06,+4.195886152752E+00,+4.072181746320E+00,+123.665264975E-03
+499.908000E-06,+4.195493564811E+00,+4.070572135782E+00,+124.876507696E-03
+499.909000E-06,+4.194590612562E+00,+4.069374742583E+00,+125.154599136E-03
+499.910000E-06,+4.194610241961E+00,+4.068726972488E+00,+125.819958663E-03
+499.911000E-06,+4.194590612562E+00,+4.068785860683E+00,+125.741681066E-03
+499.912000E-06,+4.194610241961E+00,+4.069728071728E+00,+124.839428834E-03
+499.913000E-06,+4.194090062942E+00,+4.070169733153E+00,+123.895977867E-03
