x-axis,1,2,F1
second,Volt,Volt,Volt
-53.0000E-09,-72.5163612078E-03,-31.5890168858E-03,-40.8045980694E-03
-52.7344E-09,-72.3685633968E-03,-31.5890168858E-03,-40.6494969603E-03
-52.4688E-09,-71.9066952374E-03,-31.5890168858E-03,-40.1648059943E-03
-52.2031E-09,-71.4263523516E-03,-31.5890168858E-03,-39.6607273897E-03
-51.9375E-09,-71.1122820032E-03,-31.5890168858E-03,-39.3621577547E-03
-51.6719E-09,-70.9460094658E-03,-31.5890168858E-03,-39.2225667565E-03
-51.4063E-09,-70.7982116548E-03,-31.5890168858E-03,-39.0674656474E-03
-51.1406E-09,-70.6319391174E-03,-31.5890168858E-03,-38.8929768997E-03
-50.8750E-09,-70.6319391174E-03,-31.7368146969E-03,-38.7378757906E-03
-50.6094E-09,-70.6319391174E-03,-31.9030872342E-03,-38.5633870428E-03
-50.3438E-09,-70.6319391174E-03,-32.0508850453E-03,-38.4082859337E-03
-50.0781E-09,-70.6319391174E-03,-32.2171575826E-03,-38.2337971860E-03
-49.8125E-09,-70.6319391174E-03,-32.3649553936E-03,-38.1097162987E-03
-49.5469E-09,-70.4841413064E-03,-32.6790257420E-03,-37.6599230823E-03
-49.2813E-09,-70.3178687691E-03,-32.8452982794E-03,-37.3109455868E-03
-49.0156E-09,-70.1700709580E-03,-32.9930960904E-03,-37.0317635904E-03
-48.7500E-09,-70.0037984207E-03,-33.1593686278E-03,-36.7176838445E-03
-48.4844E-09,-70.0037984207E-03,-33.0115708168E-03,-36.8417647318E-03
-48.2188E-09,-69.8560006096E-03,-32.8452982794E-03,-36.8572748427E-03
-47.9531E-09,-69.6897280723E-03,-32.6975004684E-03,-36.8417647318E-03
-47.6875E-09,-69.5419302613E-03,-32.5312279310E-03,-36.8572748427E-03
-47.4219E-09,-69.3756577239E-03,-32.3834301200E-03,-36.8417647318E-03
-47.1563E-09,-69.2278599129E-03,-32.0693597716E-03,-36.9813557299E-03
-46.8906E-09,-69.0615873755E-03,-31.9030872342E-03,-36.9813557299E-03
-46.6250E-09,-69.0615873755E-03,-31.7552894232E-03,-37.1364568391E-03
-46.3594E-09,-69.2093851865E-03,-31.4412190748E-03,-37.6211478050E-03
-46.0938E-09,-69.3756577239E-03,-31.2749465375E-03,-37.9701253005E-03
-45.8281E-09,-69.5234555349E-03,-31.2749465375E-03,-38.0942061878E-03
-45.5625E-09,-69.6897280723E-03,-31.1271487264E-03,-38.3888982951E-03
-45.2969E-09,-69.6897280723E-03,-30.9608761891E-03,-38.5633870428E-03
-45.0313E-09,-69.5419302613E-03,-30.9608761891E-03,-38.4082859337E-03
-44.7656E-09,-69.2278599129E-03,-30.9608761891E-03,-38.1097162987E-03
-44.5000E-09,-69.0615873755E-03,-30.9608761891E-03,-37.9701253005E-03
-44.2344E-09,-68.9137895645E-03,-30.9608761891E-03,-37.8150241914E-03
-43.9688E-09,-68.7475170271E-03,-30.9608761891E-03,-37.6405354436E-03
-43.7031E-09,-68.7475170271E-03,-31.1086740001E-03,-37.4854343345E-03
-43.4375E-09,-68.7475170271E-03,-31.2749465375E-03,-37.3109455868E-03
-43.1719E-09,-68.8953148381E-03,-31.2749465375E-03,-37.4660466959E-03
-42.9063E-09,-69.0615873755E-03,-31.4227443485E-03,-37.4854343345E-03
-42.6406E-09,-69.2093851865E-03,-31.5890168858E-03,-37.4660466959E-03
-42.3750E-09,-69.5234555349E-03,-31.5890168858E-03,-37.7956365527E-03
-42.1094E-09,-69.6897280723E-03,-31.5890168858E-03,-37.9701253005E-03
-41.8438E-09,-69.8375258833E-03,-31.5890168858E-03,-38.0942061878E-03
-41.5781E-09,-70.0037984207E-03,-31.5890168858E-03,-38.2337971860E-03
-41.3125E-09,-70.0037984207E-03,-31.5890168858E-03,-38.2337971860E-03
-41.0469E-09,-70.0037984207E-03,-31.7368146969E-03,-38.1097162987E-03
-40.7813E-09,-70.0037984207E-03,-32.0508850453E-03,-37.8150241914E-03
-40.5156E-09,-70.0037984207E-03,-32.2171575826E-03,-37.6405354436E-03
-40.2500E-09,-70.0037984207E-03,-32.3649553936E-03,-37.4854343345E-03
-39.9844E-09,-70.0037984207E-03,-32.5312279310E-03,-37.3109455868E-03
-39.7188E-09,-70.0037984207E-03,-32.5312279310E-03,-37.3109455868E-03
-39.4531E-09,-70.0037984207E-03,-32.5312279310E-03,-37.3109455868E-03
-39.1875E-09,-70.0037984207E-03,-32.5312279310E-03,-37.3109455868E-03
-38.9219E-09,-70.0037984207E-03,-32.3834301200E-03,-37.4660466959E-03
-38.6563E-09,-70.0037984207E-03,-32.0693597716E-03,-37.7956365527E-03
-38.3906E-09,-69.8560006096E-03,-31.7552894232E-03,-37.9701253005E-03
-38.1250E-09,-69.5419302613E-03,-31.4412190748E-03,-37.9701253005E-03
-37.8594E-09,-69.3756577239E-03,-31.2749465375E-03,-37.9701253005E-03
-37.5938E-09,-69.3756577239E-03,-31.2749465375E-03,-37.9701253005E-03
-37.3281E-09,-69.3756577239E-03,-31.2749465375E-03,-37.9701253005E-03
-37.0625E-09,-69.3756577239E-03,-31.2749465375E-03,-37.9701253005E-03
-36.7969E-09,-69.5234555349E-03,-31.1271487264E-03,-38.2493072969E-03
-36.5313E-09,-69.8375258833E-03,-30.9608761891E-03,-38.7184881519E-03
-36.2656E-09,-70.0037984207E-03,-30.9608761891E-03,-38.8929768997E-03
-36.0000E-09,-70.1515962317E-03,-30.9608761891E-03,-39.0480780088E-03
-35.7344E-09,-70.3178687691E-03,-30.9608761891E-03,-39.2225667565E-03
-35.4688E-09,-70.3178687691E-03,-30.9608761891E-03,-39.2225667565E-03
-35.2031E-09,-70.3178687691E-03,-30.9608761891E-03,-39.2225667565E-03
-34.9375E-09,-70.0222731470E-03,-30.9608761891E-03,-38.9123645383E-03
-34.6719E-09,-69.5419302613E-03,-30.9608761891E-03,-38.4082859337E-03
-34.4063E-09,-69.2278599129E-03,-30.9608761891E-03,-38.1097162987E-03
-34.1406E-09,-69.0615873755E-03,-30.8130783780E-03,-38.0942061878E-03
-33.8750E-09,-69.0615873755E-03,-30.6468058407E-03,-38.2337971860E-03
-33.6094E-09,-69.0615873755E-03,-30.6468058407E-03,-38.2337971860E-03
-33.3438E-09,-69.0615873755E-03,-30.6468058407E-03,-38.2337971860E-03
-33.0781E-09,-69.3571829975E-03,-30.6468058407E-03,-38.5439994042E-03
-32.8125E-09,-69.9853236943E-03,-30.6468058407E-03,-39.1721588960E-03
-32.5469E-09,-70.6134643911E-03,-30.7946036517E-03,-39.6413397511E-03
-32.2813E-09,-71.0938072769E-03,-30.9608761891E-03,-39.9709296079E-03
-32.0156E-09,-71.4078776252E-03,-31.1086740001E-03,-40.1454183557E-03
-31.7500E-09,-71.5741501626E-03,-31.2749465375E-03,-40.1454183557E-03
-31.4844E-09,-71.5741501626E-03,-31.2749465375E-03,-40.1454183557E-03
-31.2188E-09,-71.4263523516E-03,-31.2749465375E-03,-39.9903172466E-03
-30.9531E-09,-70.9644841922E-03,-31.2749465375E-03,-39.5366465024E-03
-30.6875E-09,-70.4841413064E-03,-31.2749465375E-03,-39.0674656474E-03
-30.4219E-09,-70.3178687691E-03,-31.2749465375E-03,-38.8929768997E-03
-30.1563E-09,-70.3178687691E-03,-31.2749465375E-03,-38.8929768997E-03
-29.8906E-09,-70.3178687691E-03,-31.4227443485E-03,-38.7378757906E-03
-29.6250E-09,-70.4656665801E-03,-31.5890168858E-03,-38.7184881519E-03
-29.3594E-09,-70.7797369285E-03,-31.4412190748E-03,-39.1721588960E-03
-29.0938E-09,-71.0938072769E-03,-31.2749465375E-03,-39.6413397511E-03
-28.8281E-09,-71.5556754363E-03,-30.9793509154E-03,-40.4052127134E-03
-28.5625E-09,-72.0360183220E-03,-30.4990080297E-03,-41.3784721731E-03
-28.2969E-09,-72.4978864814E-03,-30.1849376813E-03,-42.1617327740E-03
-28.0313E-09,-72.9782293672E-03,-29.8708673329E-03,-42.9605034859E-03
-27.7656E-09,-73.1445019046E-03,-29.7045947955E-03,-43.3094809814E-03
-27.5000E-09,-72.9967040936E-03,-29.7045947955E-03,-43.1543798723E-03
-27.2344E-09,-72.8304315562E-03,-29.8523926065E-03,-42.8247900155E-03
-26.9688E-09,-72.5348359342E-03,-30.0186651439E-03,-42.3711192713E-03
-26.7031E-09,-72.0544930484E-03,-30.3142607659E-03,-41.5917361981E-03
-26.4375E-09,-71.7404227000E-03,-30.7946036517E-03,-40.7890879585E-03
-26.1719E-09,-71.4263523516E-03,-30.9608761891E-03,-40.3199071034E-03
-25.9063E-09,-71.1122820032E-03,-31.1086740001E-03,-39.8352161375E-03
-25.6406E-09,-70.7982116548E-03,-31.2749465375E-03,-39.3621577547E-03
-25.3750E-09,-70.4841413064E-03,-31.4227443485E-03,-38.9123645383E-03
-25.1094E-09,-70.3178687691E-03,-31.5890168858E-03,-38.5633870428E-03
-24.8438E-09,-70.3178687691E-03,-31.5890168858E-03,-38.5633870428E-03
-24.5781E-09,-70.3178687691E-03,-31.4412190748E-03,-38.7184881519E-03
-24.3125E-09,-70.1700709580E-03,-31.2749465375E-03,-38.7378757906E-03
-24.0469E-09,-70.0037984207E-03,-31.1271487264E-03,-38.7184881519E-03
-23.7813E-09,-70.0037984207E-03,-30.9608761891E-03,-38.8929768997E-03
-23.5156E-09,-70.0037984207E-03,-30.9608761891E-03,-38.8929768997E-03
-23.2500E-09,-69.8560006096E-03,-30.9608761891E-03,-38.7378757906E-03
-22.9844E-09,-69.6897280723E-03,-30.9608761891E-03,-38.5633870428E-03
-22.7188E-09,-69.6897280723E-03,-30.9608761891E-03,-38.5633870428E-03
-22.4531E-09,-69.6897280723E-03,-31.1086740001E-03,-38.4082859337E-03
-22.1875E-09,-69.8375258833E-03,-31.2749465375E-03,-38.3888982951E-03
-21.9219E-09,-70.0037984207E-03,-31.4227443485E-03,-38.4082859337E-03
-21.6563E-09,-70.1515962317E-03,-31.5890168858E-03,-38.3888982951E-03
-21.3906E-09,-70.3178687691E-03,-31.5890168858E-03,-38.5633870428E-03
-21.1250E-09,-70.4656665801E-03,-31.7368146969E-03,-38.5633870428E-03
-20.8594E-09,-70.6319391174E-03,-32.0508850453E-03,-38.4082859337E-03
-20.5938E-09,-70.6319391174E-03,-32.2171575826E-03,-38.2337971860E-03
-20.3281E-09,-70.6319391174E-03,-32.0693597716E-03,-38.3888982951E-03
-20.0625E-09,-70.6319391174E-03,-31.7552894232E-03,-38.7184881519E-03
-19.7969E-09,-70.4841413064E-03,-31.5890168858E-03,-38.7378757906E-03
-19.5313E-09,-70.1700709580E-03,-31.5890168858E-03,-38.4082859337E-03
-19.2656E-09,-70.0037984207E-03,-31.5890168858E-03,-38.2337971860E-03
-19.0000E-09,-69.8560006096E-03,-31.5890168858E-03,-38.1097162987E-03
-18.7344E-09,-69.8375258833E-03,-31.7368146969E-03,-37.9701253005E-03
-18.4688E-09,-70.0037984207E-03,-32.0508850453E-03,-37.8150241914E-03
-18.2031E-09,-70.1515962317E-03,-32.2171575826E-03,-37.7956365527E-03
-17.9375E-09,-70.4656665801E-03,-32.2171575826E-03,-38.0942061878E-03
-17.6719E-09,-70.6319391174E-03,-32.2171575826E-03,-38.2337971860E-03
-17.4063E-09,-70.6319391174E-03,-32.2171575826E-03,-38.2337971860E-03
-17.1406E-09,-70.6319391174E-03,-32.0693597716E-03,-38.3888982951E-03
-16.8750E-09,-70.6319391174E-03,-31.7552894232E-03,-38.7184881519E-03
-16.6094E-09,-70.6319391174E-03,-31.4412190748E-03,-39.0480780088E-03
-16.3438E-09,-70.6319391174E-03,-31.2749465375E-03,-39.2225667565E-03
-16.0781E-09,-70.7797369285E-03,-31.4227443485E-03,-39.2225667565E-03
-15.8125E-09,-71.0938072769E-03,-31.5890168858E-03,-39.3466476438E-03
-15.5469E-09,-71.2600798142E-03,-31.7368146969E-03,-39.3621577547E-03
-15.2813E-09,-71.2600798142E-03,-31.9030872342E-03,-39.2225667565E-03
-15.0156E-09,-71.2600798142E-03,-31.9030872342E-03,-39.2225667565E-03
-14.7500E-09,-71.2600798142E-03,-31.9030872342E-03,-39.2225667565E-03
-14.4844E-09,-71.2600798142E-03,-31.7552894232E-03,-39.3466476438E-03
-14.2188E-09,-71.2600798142E-03,-31.4412190748E-03,-39.6413397511E-03
-13.9531E-09,-71.4078776252E-03,-31.1271487264E-03,-40.1260307170E-03
