x-axis,2,3,F1
second,Volt,Volt,Volt
-616.0000E-06,+521.7046455E-03,+1.8374666671E+00,+1.3149563372E+00
-615.3800E-06,+521.8278740E-03,+1.8375886502E+00,+1.3149371232E+00
-614.7600E-06,+521.8968110E-03,+1.8375384005E+00,+1.3148342669E+00
-614.1400E-06,+521.6450737E-03,+1.8377098187E+00,+1.3152004778E+00
-613.5200E-06,+522.0053940E-03,+1.8373957483E+00,+1.3146228935E+00
-612.9000E-06,+522.0340009E-03,+1.8377017217E+00,+1.3148342669E+00
-612.2800E-06,+521.9088928E-03,+1.8377098187E+00,+1.3149563372E+00
-611.6600E-06,+521.9088928E-03,+1.8373957483E+00,+1.3147121966E+00
-611.0400E-06,+521.9073716E-03,+1.8375509726E+00,+1.3148342669E+00
-610.4200E-06,+521.8210726E-03,+1.8377098187E+00,+1.3150376068E+00
-609.8000E-06,+521.9088928E-03,+1.8376550938E+00,+1.3149137972E+00
-609.1800E-06,+521.7788628E-03,+1.8373957483E+00,+1.3148325275E+00
-608.5600E-06,+521.7769832E-03,+1.8376640442E+00,+1.3150428250E+00
-607.9400E-06,+521.8685626E-03,+1.8374917725E+00,+1.3148241623E+00
-607.3200E-06,+521.7860227E-03,+1.8373957483E+00,+1.3148259017E+00
-606.7000E-06,+521.8263529E-03,+1.8373957483E+00,+1.3147885798E+00
-606.0800E-06,+521.7487185E-03,+1.8373957483E+00,+1.3148604234E+00
-605.4600E-06,+521.9088928E-03,+1.8377098187E+00,+1.3149563372E+00
-604.8400E-06,+521.7769832E-03,+1.8374289507E+00,+1.3148600765E+00
-604.2200E-06,+521.7769832E-03,+1.8377098187E+00,+1.3150784075E+00
-603.6000E-06,+521.8527380E-03,+1.8373957483E+00,+1.3147641627E+00
-602.9800E-06,+521.9088928E-03,+1.8373957483E+00,+1.3147121966E+00
-602.3600E-06,+521.9088928E-03,+1.8373957483E+00,+1.3147121966E+00
-601.7400E-06,+521.7894234E-03,+1.8371112975E+00,+1.3144910805E+00
-601.1200E-06,+521.6710677E-03,+1.8373957483E+00,+1.3149322821E+00
-600.5000E-06,+521.9386623E-03,+1.8374666282E+00,+1.3147397456E+00
-599.8800E-06,+521.7769832E-03,+1.8375168779E+00,+1.3149284262E+00
-599.2600E-06,+521.8369135E-03,+1.8375384394E+00,+1.3148897269E+00
-598.6400E-06,+521.8158086E-03,+1.8374881897E+00,+1.3148701963E+00
-598.0200E-06,+521.7769832E-03,+1.8376676270E+00,+1.3150456101E+00
-597.4000E-06,+521.7769832E-03,+1.8373957483E+00,+1.3148342669E+00
-596.7800E-06,+521.8014725E-03,+1.8373957483E+00,+1.3148116043E+00
-596.1600E-06,+521.7769832E-03,+1.8373957483E+00,+1.3148342669E+00
-595.5400E-06,+521.8421938E-03,+1.8377098187E+00,+1.3150180611E+00
-594.9200E-06,+521.7769832E-03,+1.8375007618E+00,+1.3149158985E+00
-594.3000E-06,+521.6910753E-03,+1.8373957483E+00,+1.3149137669E+00
-593.6800E-06,+521.9069969E-03,+1.8377098187E+00,+1.3149580917E+00
-593.0600E-06,+521.7769832E-03,+1.8373957483E+00,+1.3148342669E+00
-592.4400E-06,+521.7769832E-03,+1.8377098187E+00,+1.3150784075E+00
-591.8200E-06,+521.7860554E-03,+1.8373957483E+00,+1.3148258714E+00
-591.2000E-06,+521.7769832E-03,+1.8375922330E+00,+1.3149870030E+00
-590.5800E-06,+521.7769832E-03,+1.8376424827E+00,+1.3150260643E+00
-589.9600E-06,+521.7769832E-03,+1.8373957483E+00,+1.3148342669E+00
-589.3400E-06,+521.7769832E-03,+1.8374289118E+00,+1.3148600463E+00
-588.7200E-06,+521.6450737E-03,+1.8374791615E+00,+1.3150211779E+00
-588.1000E-06,+521.6450737E-03,+1.8373957483E+00,+1.3149563372E+00
