x-axis,2,3,F1
second,Volt,Volt,Volt
+489.30000E-06,+523.49180733E-03,+1.83928017040E+00,+1.31499702732E+00
+489.32700E-06,+523.61844050E-03,+1.83922573154E+00,+1.31479683201E+00
+489.35400E-06,+523.34934502E-03,+1.83958586554E+00,+1.31544624607E+00
+489.38100E-06,+523.13477216E-03,+1.83905822736E+00,+1.31513211846E+00
+489.40800E-06,+523.29834000E-03,+1.83874834461E+00,+1.31459989190E+00
+489.43500E-06,+523.46542542E-03,+1.83798201296E+00,+1.31371935805E+00
+489.46200E-06,+523.37748573E-03,+1.83888653557E+00,+1.31467964451E+00
+489.48900E-06,+523.88753597E-03,+1.83914616705E+00,+1.31445991794E+00
+489.51600E-06,+523.71341537E-03,+1.83987481026E+00,+1.31532905857E+00
+489.54300E-06,+522.96416915E-03,+1.83934717208E+00,+1.31552274346E+00
+489.57000E-06,+523.56215909E-03,+1.83911266622E+00,+1.31472847263E+00
+489.59700E-06,+523.05914402E-03,+1.83838402301E+00,+1.31448595961E+00
+489.62400E-06,+523.53753598E-03,+1.83951886387E+00,+1.31517118096E+00
+489.65100E-06,+523.75562643E-03,+1.83920060591E+00,+1.31461942315E+00
+489.67800E-06,+523.09607869E-03,+1.83902472652E+00,+1.31513537367E+00
+489.70500E-06,+523.22798824E-03,+1.83902891412E+00,+1.31501330336E+00
+489.73200E-06,+523.31241035E-03,+1.83920898112E+00,+1.31506701430E+00
+489.75900E-06,+523.04507367E-03,+1.83915872987E+00,+1.31527534763E+00
+489.78600E-06,+523.40738522E-03,+1.83928017040E+00,+1.31503446221E+00
+489.81300E-06,+523.11894302E-03,+1.83928017040E+00,+1.31530138930E+00
+489.84000E-06,+523.32472191E-03,+1.83923829436E+00,+1.31507840753E+00
+489.86700E-06,+523.21391789E-03,+1.83928017040E+00,+1.31521675388E+00
+489.89400E-06,+523.65713396E-03,+1.83933879687E+00,+1.31487170180E+00
+489.92100E-06,+523.96844049E-03,+1.83978687057E+00,+1.31498888930E+00
+489.94800E-06,+523.16115407E-03,+1.83928017040E+00,+1.31526232680E+00
+489.97500E-06,+523.22798824E-03,+1.83896610005E+00,+1.31491564711E+00
+490.00200E-06,+523.45135507E-03,+1.83964867961E+00,+1.31540230076E+00
+490.02900E-06,+523.36517417E-03,+1.83897866287E+00,+1.31484077732E+00
+490.05600E-06,+523.54984753E-03,+1.83959424075E+00,+1.31526883721E+00
+490.08300E-06,+523.55336512E-03,+1.83889491078E+00,+1.31452502211E+00
+490.11000E-06,+523.49180733E-03,+1.83854733959E+00,+1.31421577732E+00
+490.13700E-06,+523.68879226E-03,+1.83872740659E+00,+1.31423693617E+00
+490.16400E-06,+522.97296312E-03,+1.83896610005E+00,+1.31519233982E+00
