x-axis,2,3,F1
second,Volt,Volt,Volt
-1.220000E-06,-2.040005338578E+00,-2.108505591335E+00,-71.121543646E-03
-1.218300E-06,-2.040130652647E+00,-2.107060867733E+00,-69.534629583E-03
-1.216600E-06,-2.039728328531E+00,-2.106731093867E+00,-69.699424505E-03
-1.214900E-06,-2.039814069736E+00,-2.108254335057E+00,-71.097129583E-03
-1.213200E-06,-2.040427449127E+00,-2.107751822499E+00,-69.943565130E-03
-1.211500E-06,-2.039708542099E+00,-2.105914510961E+00,-68.863242865E-03
-1.209800E-06,-2.040434044604E+00,-2.106212877792E+00,-68.472617865E-03
-1.208100E-06,-2.040374685308E+00,-2.106668279797E+00,-68.918174505E-03
-1.206400E-06,-2.040275753148E+00,-2.108521294853E+00,-70.871299505E-03
-1.204700E-06,-2.040565954150E+00,-2.107861747121E+00,-69.900840521E-03
-1.203000E-06,-2.040005338578E+00,-2.107563380290E+00,-70.206016302E-03
-1.201300E-06,-2.041331029519E+00,-2.108489887818E+00,-69.864219427E-03
-1.199600E-06,-2.040757222992E+00,-2.106950943111E+00,-68.838828802E-03
-1.197900E-06,-2.040434044604E+00,-2.107971671743E+00,-70.193809271E-03
-1.196200E-06,-2.041047423994E+00,-2.107626194360E+00,-69.266074896E-03
-1.194500E-06,-2.040928705403E+00,-2.107955968226E+00,-69.656699896E-03
-1.192800E-06,-2.040381280785E+00,-2.108458480783E+00,-70.773643255E-03
-1.191100E-06,-2.041021042085E+00,-2.109070917963E+00,-70.688194036E-03
-1.189400E-06,-2.039952574760E+00,-2.107673304912E+00,-70.401328802E-03
-1.187700E-06,-2.040348303399E+00,-2.107422048633E+00,-69.754356146E-03
-1.186000E-06,-2.039741519486E+00,-2.107327827529E+00,-70.206016302E-03
-1.184300E-06,-2.040420853649E+00,-2.107327827529E+00,-69.559043646E-03
-1.182600E-06,-2.040902323493E+00,-2.108191520987E+00,-69.937461615E-03
-1.180900E-06,-2.040579145105E+00,-2.108285742092E+00,-70.303672552E-03
-1.179200E-06,-2.040341707921E+00,-2.108050189330E+00,-70.413535833E-03
-1.177500E-06,-2.040598931537E+00,-2.109133732032E+00,-71.182578802E-03
-1.175800E-06,-2.040157034557E+00,-2.108003078778E+00,-70.468467474E-03
-1.174100E-06,-2.040401067217E+00,-2.107437752151E+00,-69.668906927E-03
-1.172400E-06,-2.040697863697E+00,-2.107029460698E+00,-68.973106146E-03
-1.170700E-06,-2.040526381286E+00,-2.106919536076E+00,-69.082969427E-03
-1.169000E-06,-2.040302135058E+00,-2.108741144097E+00,-71.121543646E-03
-1.167300E-06,-2.040374685308E+00,-2.107155088837E+00,-69.400352240E-03
-1.165600E-06,-2.040434044604E+00,-2.107296420494E+00,-69.473594427E-03
-1.163900E-06,-2.040809986811E+00,-2.106683983315E+00,-68.472617865E-03
-1.162200E-06,-2.040651695355E+00,-2.107343531046E+00,-69.339317083E-03
-1.160500E-06,-2.040499999377E+00,-2.108034485813E+00,-70.175498724E-03
-1.158800E-06,-2.039734924008E+00,-2.108945289823E+00,-71.853965521E-03
-1.157100E-06,-2.040302135058E+00,-2.109353581276E+00,-71.683067083E-03
-1.155400E-06,-2.040315326012E+00,-2.109856093834E+00,-72.250694036E-03
-1.153700E-06,-2.040862750629E+00,-2.110892525983E+00,-72.714561224E-03
-1.152000E-06,-2.040565954150E+00,-2.108191520987E+00,-70.297569036E-03
-1.150300E-06,-2.040717650129E+00,-2.110594159152E+00,-72.537559271E-03
-1.148600E-06,-2.040097675261E+00,-2.106526948141E+00,-69.064658880E-03
-1.146900E-06,-2.040401067217E+00,-2.106998053663E+00,-69.217246771E-03
-1.145200E-06,-2.040935300880E+00,-2.106071546135E+00,-67.837852240E-03
-1.143500E-06,-2.041390388815E+00,-2.106542651658E+00,-67.795127630E-03
-1.141800E-06,-2.041245288314E+00,-2.108128706917E+00,-69.522422552E-03
-1.140100E-06,-2.041007851130E+00,-2.108615515957E+00,-70.224326849E-03
-1.138400E-06,-2.041594848612E+00,-2.106401320001E+00,-67.410606146E-03
-1.136700E-06,-2.041627825998E+00,-2.107422048633E+00,-68.448203802E-03
-1.135000E-06,-2.041456343588E+00,-2.108191520987E+00,-69.382041693E-03
-1.133300E-06,-2.040902323493E+00,-2.110374309908E+00,-72.092002630E-03
-1.131600E-06,-2.040255966716E+00,-2.110185867699E+00,-72.629112005E-03
-1.129900E-06,-2.041106783290E+00,-2.107107978285E+00,-68.667930365E-03
-1.128200E-06,-2.040038315965E+00,-2.108175817470E+00,-70.755332708E-03
-1.126500E-06,-2.040697863697E+00,-2.108819661684E+00,-70.724815130E-03
-1.124800E-06,-2.040770413947E+00,-2.107013757181E+00,-68.887656927E-03
-1.123100E-06,-2.039814069736E+00,-2.106244284827E+00,-69.052451849E-03
-1.121400E-06,-2.040836368720E+00,-2.107861747121E+00,-69.705528021E-03
-1.119700E-06,-2.040869346107E+00,-2.110044536043E+00,-71.841758490E-03
-1.118000E-06,-2.040631908923E+00,-2.110232978252E+00,-72.220176458E-03
-1.116300E-06,-2.041225501882E+00,-2.107861747121E+00,-69.333213568E-03
-1.114600E-06,-2.040889132539E+00,-2.109008103893E+00,-70.804160833E-03
