x-axis,2,3,F1
second,Volt,Volt,Volt
-660.0000E-06,+582.6894027E-03,+4.7293528927E+00,+4.1441566944E+00
-659.3400E-06,+582.8856967E-03,+4.7291173399E+00,+4.1437904835E+00
-658.6800E-06,+582.8464379E-03,+4.7291958575E+00,+4.1438515186E+00
-658.0200E-06,+582.7679203E-03,+4.7290388223E+00,+4.1437904835E+00
-657.3600E-06,+582.8464379E-03,+4.7293528927E+00,+4.1440346241E+00
-656.7000E-06,+582.7875497E-03,+4.7291173399E+00,+4.1438515186E+00
-656.0400E-06,+582.8071791E-03,+4.7293528927E+00,+4.1440956593E+00
-655.3800E-06,+582.8464379E-03,+4.7291173399E+00,+4.1437599659E+00
-654.7200E-06,+582.6894027E-03,+4.7293528927E+00,+4.1441566944E+00
-654.0600E-06,+582.7482909E-03,+4.7292743751E+00,+4.1440956593E+00
-653.4000E-06,+582.7286615E-03,+4.7293528927E+00,+4.1441566944E+00
-652.7400E-06,+582.7482909E-03,+4.7293528927E+00,+4.1441566944E+00
-652.0800E-06,+582.7679203E-03,+4.7290388223E+00,+4.1437904835E+00
-651.4200E-06,+582.7482909E-03,+4.7295884454E+00,+4.1443397999E+00
-650.7600E-06,+582.8071791E-03,+4.7290388223E+00,+4.1437294483E+00
-650.1000E-06,+582.7286615E-03,+4.7292743751E+00,+4.1440346241E+00
-649.4400E-06,+582.7679203E-03,+4.7293528927E+00,+4.1441566944E+00
-648.7800E-06,+582.7679203E-03,+4.7289603047E+00,+4.1436989307E+00
-648.1200E-06,+582.7286615E-03,+4.7291958575E+00,+4.1439735889E+00
-647.4600E-06,+582.7090321E-03,+4.7292743751E+00,+4.1440651417E+00
-646.8000E-06,+582.7679203E-03,+4.7290388223E+00,+4.1437904835E+00
-646.1400E-06,+582.7286615E-03,+4.7290388223E+00,+4.1438210011E+00
-645.4800E-06,+582.9249555E-03,+4.7291958575E+00,+4.1437904835E+00
-644.8200E-06,+582.7875497E-03,+4.7295099278E+00,+4.1442177296E+00
-644.1600E-06,+582.7679203E-03,+4.7296669630E+00,+4.1444008350E+00
-643.5000E-06,+582.7090321E-03,+4.7291958575E+00,+4.1439735889E+00
-642.8400E-06,+582.6894027E-03,+4.7293528927E+00,+4.1441566944E+00
-642.1800E-06,+582.8660673E-03,+4.7292743751E+00,+4.1439125538E+00
-641.5200E-06,+582.6894027E-03,+4.7290388223E+00,+4.1439125538E+00
-640.8600E-06,+582.7679203E-03,+4.7293528927E+00,+4.1441566944E+00
-640.2000E-06,+582.7286615E-03,+4.7291958575E+00,+4.1439735889E+00
-639.5400E-06,+582.7286615E-03,+4.7295099278E+00,+4.1442787647E+00
-638.8800E-06,+582.6108851E-03,+4.7293528927E+00,+4.1442787647E+00
-638.2200E-06,+582.7875497E-03,+4.7292743751E+00,+4.1440041065E+00
-637.5600E-06,+582.6894027E-03,+4.7291958575E+00,+4.1440346241E+00
-636.9000E-06,+582.6894027E-03,+4.7293528927E+00,+4.1441566944E+00
-636.2400E-06,+582.6894027E-03,+4.7293528927E+00,+4.1441566944E+00
-635.5800E-06,+582.7090321E-03,+4.7291173399E+00,+4.1439735889E+00
-634.9200E-06,+582.5716263E-03,+4.7291958575E+00,+4.1441566944E+00
-634.2600E-06,+582.6894027E-03,+4.7291173399E+00,+4.1439125538E+00
-633.6000E-06,+582.6108851E-03,+4.7293528927E+00,+4.1442787647E+00
-632.9400E-06,+582.7482909E-03,+4.7290388223E+00,+4.1438210011E+00
-632.2800E-06,+582.7286615E-03,+4.7291958575E+00,+4.1440346241E+00
-631.6200E-06,+582.6894027E-03,+4.7292743751E+00,+4.1440956593E+00
-630.9600E-06,+582.6108851E-03,+4.7293528927E+00,+4.1442787647E+00
-630.3000E-06,+582.7482909E-03,+4.7291958575E+00,+4.1439735889E+00
-629.6400E-06,+582.6894027E-03,+4.7290388223E+00,+4.1438515186E+00
-628.9800E-06,+582.6305145E-03,+4.7291173399E+00,+4.1439735889E+00
-628.3200E-06,+582.6894027E-03,+4.7287247520E+00,+4.1435463428E+00
-627.6600E-06,+582.5323675E-03,+4.7290388223E+00,+4.1440346241E+00
-627.0000E-06,+582.6501439E-03,+4.7291958575E+00,+4.1440346241E+00
-626.3400E-06,+582.7482909E-03,+4.7290388223E+00,+4.1438210011E+00
-625.6800E-06,+582.6894027E-03,+4.7290388223E+00,+4.1439125538E+00
-625.0200E-06,+582.5912557E-03,+4.7290388223E+00,+4.1439430714E+00
-624.3600E-06,+582.6501439E-03,+4.7290388223E+00,+4.1439125538E+00
-623.7000E-06,+582.6108851E-03,+4.7290388223E+00,+4.1439125538E+00
-623.0400E-06,+582.6108851E-03,+4.7290388223E+00,+4.1439125538E+00
-622.3800E-06,+582.6501439E-03,+4.7290388223E+00,+4.1438820362E+00
-621.7200E-06,+582.5716263E-03,+4.7293528927E+00,+4.1442787647E+00
-621.0600E-06,+582.6108851E-03,+4.7291958575E+00,+4.1441261768E+00
-620.4000E-06,+582.6108851E-03,+4.7290388223E+00,+4.1439125538E+00
-619.7400E-06,+582.6501439E-03,+4.7287247520E+00,+4.1436073780E+00
-619.0800E-06,+582.6894027E-03,+4.7291958575E+00,+4.1440346241E+00
-618.4200E-06,+582.6501439E-03,+4.7291173399E+00,+4.1440041065E+00
-617.7600E-06,+582.6108851E-03,+4.7290388223E+00,+4.1439125538E+00
-617.1000E-06,+582.7090321E-03,+4.7291173399E+00,+4.1439125538E+00
-616.4400E-06,+582.6894027E-03,+4.7290388223E+00,+4.1439125538E+00
-615.7800E-06,+582.6894027E-03,+4.7291958575E+00,+4.1440041065E+00
