x-axis,2,3,F1
second,Volt,Volt,Volt
-879.0000E-06,,,
-878.6300E-06,+585.7515886E-03,+4.7190656461E+00,+4.1307923662E+00
-878.2600E-06,+585.9019175E-03,+4.7193026415E+00,+4.1309466362E+00
-877.8900E-06,+585.8969113E-03,+4.7193026415E+00,+4.1309557408E+00
-877.5200E-06,+585.8902051E-03,+4.7195430370E+00,+4.1311335061E+00
-877.1500E-06,+585.9086238E-03,+4.7196167119E+00,+4.1311907768E+00
-876.7800E-06,+585.9171936E-03,+4.7194768163E+00,+4.1310820299E+00
-876.4100E-06,+585.9423185E-03,+4.7196167119E+00,+4.1312256196E+00
-876.0400E-06,+585.8987749E-03,+4.7196167119E+00,+4.1312060888E+00
-875.6700E-06,+585.8328198E-03,+4.7193134958E+00,+4.1309550737E+00
-875.3000E-06,+585.7515886E-03,+4.7196167119E+00,+4.1314349174E+00
-874.9300E-06,+585.8351042E-03,+4.7196167119E+00,+4.1313483570E+00
-874.5600E-06,+585.6707865E-03,+4.7196167119E+00,+4.1314977284E+00
-874.1900E-06,+585.8556602E-03,+4.7198285659E+00,+4.1314378020E+00
-873.8200E-06,+585.8956322E-03,+4.7198788159E+00,+4.1315165921E+00
-873.4500E-06,+585.7524468E-03,+4.7196184282E+00,+4.1314355845E+00
-873.0800E-06,+585.8543730E-03,+4.7199307822E+00,+4.1315381241E+00
-872.7100E-06,+586.0365331E-03,+4.7198319987E+00,+4.1312813399E+00
-872.3400E-06,+585.9871414E-03,+4.7199307822E+00,+4.1314349174E+00
-871.9700E-06,+585.9086238E-03,+4.7199307822E+00,+4.1315569878E+00
-871.6000E-06,+585.8924895E-03,+4.7199307822E+00,+4.1315569878E+00
-871.2300E-06,+586.1370330E-03,+4.7199307822E+00,+4.1313184001E+00
-870.8600E-06,+585.9176145E-03,+4.7196526748E+00,+4.1312187324E+00
-870.4900E-06,+586.0656589E-03,+4.7197029248E+00,+4.1311692321E+00
-870.1200E-06,+586.0212571E-03,+4.7199719268E+00,+4.1314828927E+00
-869.7500E-06,+586.0656589E-03,+4.7201174950E+00,+4.1315800575E+00
-869.3800E-06,+585.8686600E-03,+4.7199307822E+00,+4.1315270182E+00
-869.0100E-06,+585.8301062E-03,+4.7202179949E+00,+4.1318918823E+00
-868.6400E-06,+585.9929894E-03,+4.7199307822E+00,+4.1314349174E+00
-868.2700E-06,+585.9687308E-03,+4.7200044245E+00,+4.1315207855E+00
-867.9000E-06,+585.8776507E-03,+4.7202448525E+00,+4.1318492818E+00
-867.5300E-06,+586.0742124E-03,+4.7202448525E+00,+4.1316657601E+00
-867.1600E-06,+586.0544983E-03,+4.7202448525E+00,+4.1316615540E+00
-866.7900E-06,+586.1343195E-03,+4.7202448525E+00,+4.1315723124E+00
-866.4200E-06,+585.9898468E-03,+4.7202448525E+00,+4.1317969223E+00
-866.0500E-06,+585.7494106E-03,+4.7203059242E+00,+4.1320452690E+00
-865.6800E-06,+586.0428022E-03,+4.7203561741E+00,+4.1318443960E+00
-865.3100E-06,+586.0275342E-03,+4.7202448525E+00,+4.1317383301E+00
-864.9400E-06,+586.0930521E-03,+4.7202448525E+00,+4.1316364703E+00
-864.5700E-06,+585.8301062E-03,+4.7202448525E+00,+4.1319231987E+00
-864.2000E-06,+586.1437393E-03,+4.7202466015E+00,+4.1315597068E+00
-863.8300E-06,+585.9086238E-03,+4.7205589229E+00,+4.1321673393E+00
-863.4600E-06,+586.0656589E-03,+4.7205589229E+00,+4.1320452690E+00
-863.0900E-06,+585.9831242E-03,+4.7203938535E+00,+4.1319169533E+00
-862.7200E-06,+585.9795443E-03,+4.7205589229E+00,+4.1321345232E+00
-862.3500E-06,+585.9409085E-03,+4.7204943534E+00,+4.1320669539E+00
-861.9800E-06,+586.2191142E-03,+4.7205589229E+00,+4.1318066940E+00
-861.6100E-06,+586.2047289E-03,+4.7205948533E+00,+4.1318569889E+00
-861.2400E-06,+586.0579962E-03,+4.7205589229E+00,+4.1320236863E+00
-860.8700E-06,+586.1100690E-03,+4.7207365630E+00,+4.1321833564E+00
-860.5000E-06,+585.9871414E-03,+4.7208729932E+00,+4.1324114799E+00
-860.1300E-06,+586.0257114E-03,+4.7207958531E+00,+4.1322915511E+00
-859.7600E-06,+585.9220689E-03,+4.7208729932E+00,+4.1325126473E+00
-859.3900E-06,+586.1500165E-03,+4.7205589229E+00,+4.1319141194E+00
-859.0200E-06,+586.1858893E-03,+4.7208729932E+00,+4.1321959493E+00
-858.6500E-06,+586.1751414E-03,+4.7206827825E+00,+4.1320194802E+00
-858.2800E-06,+586.1006491E-03,+4.7206988837E+00,+4.1321540666E+00
-857.9100E-06,+586.2002664E-03,+4.7208729932E+00,+4.1322022074E+00
-857.5400E-06,+586.0656589E-03,+4.7208729932E+00,+4.1322894096E+00
-857.1700E-06,+586.3689402E-03,+4.7208729932E+00,+4.1320536558E+00
-856.8000E-06,+586.2859519E-03,+4.7208729932E+00,+4.1320689932E+00
-856.4300E-06,+586.3012117E-03,+4.7207815009E+00,+4.1320174029E+00
-856.0600E-06,+586.1778056E-03,+4.7208729932E+00,+4.1322336260E+00
-855.6900E-06,+586.2226941E-03,+4.7210847821E+00,+4.1324142885E+00
-855.3200E-06,+586.0396432E-03,+4.7209250247E+00,+4.1323703024E+00
-854.9500E-06,+586.3788385E-03,+4.7211870636E+00,+4.1322907945E+00
-854.5800E-06,+586.1684107E-03,+4.7211385952E+00,+4.1324581970E+00
-854.2100E-06,+586.1194969E-03,+4.7209717116E+00,+4.1324045168E+00
-853.8400E-06,+586.2226941E-03,+4.7210219616E+00,+4.1323410387E+00
-853.4700E-06,+586.2514071E-03,+4.7213862819E+00,+4.1326437716E+00
-853.1000E-06,+586.2065436E-03,+4.7211224615E+00,+4.1324833322E+00
-852.7300E-06,+586.0728350E-03,+4.7211870636E+00,+4.1326500423E+00
-852.3600E-06,+586.1710999E-03,+4.7214652362E+00,+4.1328299989E+00
-851.9900E-06,+586.1087328E-03,+4.7214149862E+00,+4.1327993116E+00
-851.6200E-06,+586.2123754E-03,+4.7213234613E+00,+4.1325865642E+00
-851.2500E-06,+586.3012117E-03,+4.7213737112E+00,+4.1325565693E+00
-850.8800E-06,+586.2626253E-03,+4.7214239612E+00,+4.1326256257E+00
-850.5100E-06,+586.3662679E-03,+4.7214742111E+00,+4.1326451564E+00
-850.1400E-06,+586.1500083E-03,+4.7214778068E+00,+4.1328725614E+00
-849.7700E-06,+586.2042998E-03,+4.7212606407E+00,+4.1326193423E+00
-849.4000E-06,+586.2536509E-03,+4.7215011339E+00,+4.1327295628E+00
-849.0300E-06,+586.1526974E-03,+4.7215011339E+00,+4.1328321024E+00
-848.6600E-06,+586.2451300E-03,+4.7212768070E+00,+4.1325684310E+00
-848.2900E-06,+586.2913383E-03,+4.7215011339E+00,+4.1326709706E+00
-847.9200E-06,+586.2226941E-03,+4.7215118904E+00,+4.1327902331E+00
-847.5500E-06,+586.3644777E-03,+4.7212480700E+00,+4.1323605441E+00
-847.1800E-06,+586.1998047E-03,+4.7215011339E+00,+4.1328132767E+00
-846.8100E-06,+586.2226941E-03,+4.7216536979E+00,+4.1329555829E+00
-846.4400E-06,+586.1971156E-03,+4.7217128902E+00,+4.1330643686E+00
-846.0700E-06,+586.1571926E-03,+4.7212911918E+00,+4.1326347295E+00
-845.7000E-06,+586.1446301E-03,+4.7215011339E+00,+4.1328990561E+00
-845.3300E-06,+586.2891028E-03,+4.7217667685E+00,+4.1329841802E+00
-844.9600E-06,+586.4380787E-03,+4.7215998197E+00,+4.1327253322E+00
-844.5900E-06,+586.2186444E-03,+4.7216662686E+00,+4.1329123533E+00
-844.2200E-06,+586.2514153E-03,+4.7216160186E+00,+4.1328669958E+00
-843.8500E-06,+586.4097708E-03,+4.7215657687E+00,+4.1326591588E+00
-843.4800E-06,+586.3797293E-03,+4.7218152043E+00,+4.1328997612E+00
-843.1100E-06,+586.3707630E-03,+4.7215369991E+00,+4.1326974399E+00
-842.7400E-06,+586.1441765E-03,+4.7218152043E+00,+4.1331439018E+00
-842.3700E-06,+586.4003994E-03,+4.7219515694E+00,+4.1330426972E+00
-842.0000E-06,+586.2841378E-03,+4.7216285893E+00,+4.1328537738E+00
-841.6300E-06,+586.3205130E-03,+4.7222117289E+00,+4.1333921226E+00
-841.2600E-06,+586.0006191E-03,+4.7215280894E+00,+4.1330323083E+00
-840.8900E-06,+586.2226941E-03,+4.7218152043E+00,+4.1331439018E+00
-840.5200E-06,+586.2226941E-03,+4.7218152043E+00,+4.1331439018E+00
