x-axis,2,3,F1
second,Volt,Volt,Volt
-156.0000E-09,-1.0176904089899E+00,-1.0919213854522E+00,-77.2824287415E-03
-155.5000E-09,-1.0174843003238E+00,-1.0933150726232E+00,-78.9074897766E-03
-155.0000E-09,-1.0174205047842E+00,-1.0940609897007E+00,-79.7314643860E-03
-154.5000E-09,-1.0173910606891E+00,-1.0951406065233E+00,-80.8148384094E-03
-154.0000E-09,-1.0172929137052E+00,-1.0952780123007E+00,-81.0513496399E-03
-153.5000E-09,-1.0173910606891E+00,-1.0950620889362E+00,-80.7003974915E-03
-153.0000E-09,-1.0173518018955E+00,-1.0961024469652E+00,-81.8448066711E-03
-152.5000E-09,-1.0177345751326E+00,-1.0953761592846E+00,-80.6546211243E-03
-152.0000E-09,-1.0177345751326E+00,-1.0967698464556E+00,-82.0584297180E-03
-151.5000E-09,-1.0177934633230E+00,-1.0972213225814E+00,-82.4398994446E-03
-151.0000E-09,-1.0180192013859E+00,-1.0969661404233E+00,-81.9897651672E-03
-150.5000E-09,-1.0179357764496E+00,-1.0972605813749E+00,-82.4170112610E-03
-150.0000E-09,-1.0180829969254E+00,-1.0986542685459E+00,-83.5919380188E-03
-149.5000E-09,-1.0178621662117E+00,-1.0992824092427E+00,-84.5227241516E-03
-149.0000E-09,-1.0177198530851E+00,-1.0994394444169E+00,-84.7744941711E-03
-148.5000E-09,-1.0176118914028E+00,-1.0980261278492E+00,-83.4469795227E-03
-148.0000E-09,-1.0174352268318E+00,-1.0984776039750E+00,-84.0725898743E-03
-147.5000E-09,-1.0175137444189E+00,-1.0979279808653E+00,-83.4774971008E-03
-147.0000E-09,-1.0175480958633E+00,-1.0962987409330E+00,-81.8448066711E-03
-146.5000E-09,-1.0174499488794E+00,-1.0946498716039E+00,-80.2197456360E-03
-146.0000E-09,-1.0175775399584E+00,-1.0938450663361E+00,-79.3271064758E-03
-145.5000E-09,-1.0175186517681E+00,-1.0926869319264E+00,-78.2208442688E-03
-145.0000E-09,-1.0173370798480E+00,-1.0937272899555E+00,-79.4720649719E-03
-144.5000E-09,-1.0177443898310E+00,-1.0957883766168E+00,-81.1352729797E-03
-144.0000E-09,-1.0181713292109E+00,-1.0947087597942E+00,-79.6322822571E-03
-143.5000E-09,-1.0183774378770E+00,-1.0947480185878E+00,-79.4110298157E-03
-143.0000E-09,-1.0184706775117E+00,-1.0961417057588E+00,-80.6927680969E-03
-142.5000E-09,-1.0185688244956E+00,-1.0965931818846E+00,-81.0666084290E-03
-142.0000E-09,-1.0183970672738E+00,-1.0960435587749E+00,-80.7156562805E-03
-141.5000E-09,-1.0182351247504E+00,-1.0949443125555E+00,-79.7619819641E-03
-141.0000E-09,-1.0183627158294E+00,-1.0958865236007E+00,-80.5401802063E-03
-140.5000E-09,-1.0183038276391E+00,-1.0962987409330E+00,-81.0360908508E-03
-140.0000E-09,-1.0180192013859E+00,-1.0948854243652E+00,-79.9069404602E-03
-139.5000E-09,-1.0178474441641E+00,-1.0959257823943E+00,-81.1734199524E-03
-139.0000E-09,-1.0177002236883E+00,-1.0983990863879E+00,-83.7903022766E-03
-138.5000E-09,-1.0178621662117E+00,-1.0986935273395E+00,-83.9276313782E-03
-138.0000E-09,-1.0177051310375E+00,-1.0965931818846E+00,-81.9211006165E-03
-137.5000E-09,-1.0175333738157E+00,-1.0965146642975E+00,-82.0508003235E-03
-137.0000E-09,-1.0174008753875E+00,-1.0971624343911E+00,-82.8595161438E-03
-136.5000E-09,-1.0176855016407E+00,-1.0965931818846E+00,-81.9745063782E-03
-136.0000E-09,-1.0178130927197E+00,-1.0963379997265E+00,-81.5777778625E-03
-135.5000E-09,-1.0178278147673E+00,-1.0961613351556E+00,-81.3946723938E-03
-135.0000E-09,-1.0179504984972E+00,-1.0953957886813E+00,-80.5325508118E-03
-134.5000E-09,-1.0182204027028E+00,-1.0954546768717E+00,-80.2807807922E-03
-134.0000E-09,-1.0182547541472E+00,-1.0957098590297E+00,-80.5020332336E-03
-133.5000E-09,-1.0180829969254E+00,-1.0956509708394E+00,-80.6012153625E-03
-133.0000E-09,-1.0179063323544E+00,-1.0953957886813E+00,-80.5783271790E-03
-132.5000E-09,-1.0180142940367E+00,-1.0952191241104E+00,-80.2502632141E-03
-132.0000E-09,-1.0182204027028E+00,-1.0946891303975E+00,-79.4873237610E-03
-131.5000E-09,-1.0182841982423E+00,-1.0957098590297E+00,-80.4791450500E-03
-131.0000E-09,-1.0183725305278E+00,-1.0958865236007E+00,-80.5706977844E-03
-130.5000E-09,-1.0186669714794E+00,-1.0970053992169E+00,-81.4023017883E-03
-130.0000E-09,-1.0182253100520E+00,-1.0983009394040E+00,-83.1036567688E-03
-129.5000E-09,-1.0179554058464E+00,-1.0969857698201E+00,-82.0355415344E-03
-129.0000E-09,-1.0178180000689E+00,-1.0957098590297E+00,-80.9140205383E-03
-128.5000E-09,-1.0175579105617E+00,-1.0955331944588E+00,-80.9826850891E-03
-128.0000E-09,-1.0178278147673E+00,-1.0947676479846E+00,-79.9908638000E-03
-127.5000E-09,-1.0179210544020E+00,-1.0948854243652E+00,-80.0595283508E-03
-127.0000E-09,-1.0179750352431E+00,-1.0952191241104E+00,-80.2655220032E-03
-126.5000E-09,-1.0176560575455E+00,-1.0946891303975E+00,-80.0976753235E-03
-126.0000E-09,-1.0175824473076E+00,-1.0957098590297E+00,-81.1581611633E-03
-125.5000E-09,-1.0173076357528E+00,-1.0954743062684E+00,-81.1810493469E-03
-125.0000E-09,-1.0174548562286E+00,-1.0943358012555E+00,-79.9221992493E-03
-124.5000E-09,-1.0173076357528E+00,-1.0935898841781E+00,-79.3499946594E-03
