Instrument in Sequence,1 - 34461A - USB0::0x2A8D::0x1301::MY57212367::0::INSTR,,,,,,,,,,
Instrument in Sequence,2 - 34450A - USB0::0x0957::0xB318::MY53180202::0::INSTR,,,,,,,,,,
Instrument in Sequence,3 - E3631A - ASRL3::INSTR,,,,,,,,,,
Start Time,2022-12-02 10:09:34.603,,,,,,,,,,
Stop Time,2022-12-02 10:26:23.634,,,,,,,,,,
,,,,,,,,,,,
Time,Step,3 - Set CH1 On/Off,3 - Set CH2 On/Off,3 - Sweep CH2 Voltage Setting,3 - Get CH2 Voltage Setting,3 - Get CH2 Current Measurement,3 - Sweep CH1 Voltage Setting,1 - Get Measurement Value,2 - Get Measurement Value,3 - Set CH1 On/Off,3 - Set CH2 On/Off ()
2022-12-02 10:09:41.308,1,1,,,,,,,,,
2022-12-02 10:09:42.705,2,,1,,,,,,,,
2022-12-02 10:09:47.450,3,,,0,0,-0.0001156137,,,,,
2022-12-02 10:09:50.196,4,,,0,,,0,-2.98778705E-09,-0.000216154344,,
2022-12-02 10:09:52.463,5,,,0,,,0.05,2.61233307E-09,0.0497187071,,
2022-12-02 10:09:54.741,6,,,0,,,0.1,8.4294587E-09,0.0993745634,,
2022-12-02 10:09:57.784,7,,,0,,,0.15,1.28680826E-08,0.149289231,,
2022-12-02 10:10:00.064,8,,,0,,,0.2,1.71960223E-08,0.199336959,,
2022-12-02 10:10:02.197,9,,,0,,,0.25,2.15742521E-08,0.249272014,,
2022-12-02 10:10:04.475,10,,,0,,,0.3,2.75473002E-08,0.299277443,,
2022-12-02 10:10:06.764,11,,,0,,,0.35,3.23028211E-08,0.349222671,,
2022-12-02 10:10:08.900,12,,,0,,,0.4,3.77160179E-08,0.399279398,,
2022-12-02 10:10:11.201,13,,,0,,,0.45,4.34029402E-08,0.449228651,,
2022-12-02 10:10:13.517,14,,,0,,,0.5,4.76920715E-08,0.499208591,,
2022-12-02 10:10:15.739,15,,,0,,,0.55,5.31043498E-08,0.549150186,,
2022-12-02 10:10:18.023,16,,,0,,,0.6,5.61798576E-08,0.599189231,,
2022-12-02 10:10:20.281,17,,,0,,,0.65,6.17795184E-08,0.649051196,,
2022-12-02 10:10:22.495,18,,,0,,,0.7,6.67299998E-08,0.699045105,,
2022-12-02 10:10:24.728,19,,,0,,,0.75,7.24196778E-08,0.748978065,,
2022-12-02 10:10:26.977,20,,,0,,,0.8,7.79467738E-08,0.79901068,,
2022-12-02 10:10:29.253,21,,,0,,,0.85,8.16409196E-08,0.84896617,,
2022-12-02 10:10:31.381,22,,,0,,,0.9,8.6855941E-08,0.898698649,,
2022-12-02 10:10:33.638,23,,,0,,,0.95,9.1431887E-08,0.948641318,,
2022-12-02 10:10:35.938,24,,,0,,,1,9.70476223E-08,0.998601862,,
2022-12-02 10:10:38.080,25,,,0,,,1.05,1.02632127E-07,1.04863406,,
2022-12-02 10:10:40.398,26,,,0,,,1.1,1.07485473E-07,1.09860635,,
2022-12-02 10:10:42.695,27,,,0,,,1.15,1.12997183E-07,1.1483323,,
2022-12-02 10:10:44.857,28,,,0,,,1.2,1.17265877E-07,1.19823619,,
2022-12-02 10:10:47.442,29,,,0,,,1.25,1.22283871E-07,1.24867611,,
2022-12-02 10:10:49.554,30,,,0,,,1.3,1.27780426E-07,1.29864684,,
2022-12-02 10:10:51.780,31,,,0,,,1.35,1.34142017E-07,1.34862954,,
2022-12-02 10:10:54.026,32,,,0,,,1.4,1.39163456E-07,1.39856322,,
