Start Time,2022-12-02 15:44:17.545,,,,,,,,,,
Stop Time,2022-12-02 15:55:44.302,,,,,,,,,,
,,,,,,,,,,,
Time,Step,Set CH1 On/Off,Set CH2 On/Off,Sweep CH2 Voltage Setting,Get CH2 Voltage Setting,Get CH2 Current Measurement,Sweep CH1 Voltage Setting,Get Measurement Value,Get Measurement Value,Set CH1 On/Off,Set CH2 On/Off ()
2022-12-02 15:44:21.131,1,1,,,,,,,,,
2022-12-02 15:44:22.557,2,,1,,,,,,,,
2022-12-02 15:44:27.277,3,,,0,0,-0.000101162,,,,,
2022-12-02 15:44:29.423,4,,,0,,,0,-1.84144681E-09,-0.000217451843,,
2022-12-02 15:44:31.667,5,,,0,,,0.05,3.85649802E-09,0.0497344752,,
2022-12-02 15:44:33.941,6,,,0,,,0.1,8.50983111E-09,0.0993996198,,
2022-12-02 15:44:36.383,7,,,0,,,0.15,1.32584629E-08,0.149342645,,
2022-12-02 15:44:38.650,8,,,0,,,0.2,1.77046648E-08,0.199388484,,
2022-12-02 15:44:40.923,9,,,0,,,0.25,2.26119747E-08,0.249311432,,
2022-12-02 15:44:43.074,10,,,0,,,0.3,2.76894445E-08,0.299331432,,
2022-12-02 15:44:45.341,11,,,0,,,0.35,3.22458715E-08,0.349289783,,
2022-12-02 15:44:48.107,12,,,0,,,0.4,3.74174918E-08,0.399342064,,
2022-12-02 15:44:50.244,13,,,0,,,0.45,4.44888864E-08,0.449305842,,
2022-12-02 15:44:52.520,14,,,0,,,0.5,4.81984177E-08,0.499292821,,
2022-12-02 15:44:54.812,15,,,0,,,0.55,5.42881206E-08,0.549240939,,
2022-12-02 15:44:56.955,16,,,0,,,0.6,5.78970716E-08,0.599298125,,
2022-12-02 15:44:59.255,17,,,0,,,0.65,6.34469016E-08,0.649165216,,
2022-12-02 15:45:01.486,18,,,0,,,0.7,6.73876758E-08,0.69916346,,
2022-12-02 15:45:03.660,19,,,0,,,0.75,7.2187746E-08,0.749115787,,
2022-12-02 15:45:05.923,20,,,0,,,0.8,7.79375884E-08,0.799150052,,
2022-12-02 15:45:08.207,21,,,0,,,0.85,8.30387107E-08,0.849106452,,
2022-12-02 15:45:10.420,22,,,0,,,0.9,8.71374741E-08,0.898861746,,
2022-12-02 15:45:12.603,23,,,0,,,0.95,9.26179541E-08,0.948821465,,
2022-12-02 15:45:14.831,24,,,0,,,1,9.86699969E-08,0.998775632,,
2022-12-02 15:45:17.063,25,,,0,,,1.05,1.02733167E-07,1.04881712,,
2022-12-02 15:45:19.179,26,,,0,,,1.1,1.08155319E-07,1.09878113,,
2022-12-02 15:45:21.436,27,,,0,,,1.15,1.14213562E-07,1.14850049,,
2022-12-02 15:45:23.703,28,,,0,,,1.2,1.1812081E-07,1.19844131,,
2022-12-02 15:45:26.226,29,,,0,,,1.25,1.23463738E-07,1.24883136,,
2022-12-02 15:45:28.509,30,,,0,,,1.3,1.26793452E-07,1.29878782,,
2022-12-02 15:45:30.642,31,,,0,,,1.35,1.33344952E-07,1.34885914,,
2022-12-02 15:45:32.829,32,,,0,,,1.4,1.36991334E-07,1.39879723,,
2022-12-02 15:45:35.113,33,,,0,,,1.45,1.43275538E-07,1.44888029,,
2022-12-02 15:45:37.336,34,,,0,,,1.5,1.48227627E-07,1.49873768,,
2022-12-02 15:45:39.495,35,,,0,,,1.55,1.52269211E-07,1.5488194,,
2022-12-02 15:45:41.768,36,,,0,,,1.6,1.59419141E-07,1.59879982,,
2022-12-02 15:45:44.003,37,,,0,,,1.65,1.6245607E-07,1.64879345,,
2022-12-02 15:45:46.130,38,,,0,,,1.7,1.6709264E-07,1.6986671,,
2022-12-02 15:45:49.099,39,,,0,,,1.75,1.73792943E-07,1.74863159,,
2022-12-02 15:45:51.991,40,,,0,,,1.8,1.77905026E-07,1.79871394,,
2022-12-02 15:45:54.151,41,,,0,,,1.85,1.83277118E-07,1.84862294,,
2022-12-02 15:45:56.376,42,,,0,,,1.9,1.88385818E-07,1.89870871,,
2022-12-02 15:45:58.682,43,,,0,,,1.95,1.92818701E-07,1.94860524,,
2022-12-02 15:46:00.813,44,,,0,,,2,1.96721815E-07,1.99858329,,
2022-12-02 15:46:05.539,45,,,1,1,-8.76135E-05,2,,,,
2022-12-02 15:46:08.332,46,,,1,,,0,-2.06924519E-09,-0.000183092349,,
2022-12-02 15:46:11.069,47,,,1,,,0.05,2.14984724E-09,0.0497523714,,
2022-12-02 15:46:13.213,48,,,1,,,0.1,7.60690446E-09,0.0994169443,,
2022-12-02 15:46:15.736,49,,,1,,,0.15,1.31457119E-08,0.149333805,,
2022-12-02 15:46:17.874,50,,,1,,,0.2,1.78766618E-08,0.19938203,,
2022-12-02 15:46:20.140,51,,,1,,,0.25,2.32214273E-08,0.249308965,,
2022-12-02 15:46:22.418,52,,,1,,,0.3,2.87338266E-08,0.29931889,,
2022-12-02 15:46:24.592,53,,,1,,,0.35,3.18318387E-08,0.349277917,,
2022-12-02 15:46:26.877,54,,,1,,,0.4,3.93354072E-08,0.39932265,,
2022-12-02 15:46:29.155,55,,,1,,,0.45,4.31749122E-08,0.449285514,,
2022-12-02 15:46:31.407,56,,,1,,,0.5,4.94875912E-08,0.499282901,,
2022-12-02 15:46:33.536,57,,,1,,,0.55,5.43951307E-08,0.549234261,,
2022-12-02 15:46:35.771,58,,,1,,,0.6,5.84263814E-08,0.599283034,,
2022-12-02 15:46:37.995,59,,,1,,,0.65,6.26404218E-08,0.64913412,,
2022-12-02 15:46:40.129,60,,,1,,,0.7,6.77773672E-08,0.699151291,,
2022-12-02 15:46:42.376,61,,,1,,,0.75,7.32665734E-08,0.749102206,,
2022-12-02 15:46:44.597,62,,,1,,,0.8,7.82951308E-08,0.799156438,,
2022-12-02 15:46:46.715,63,,,1,,,0.85,8.3776759E-08,0.849097961,,
2022-12-02 15:46:48.956,64,,,1,,,0.9,8.84627004E-08,0.898841045,,
2022-12-02 15:46:51.192,65,,,1,,,0.95,9.38809492E-08,0.948806901,,
2022-12-02 15:46:53.412,66,,,1,,,1,9.80844264E-08,0.998762823,,
2022-12-02 15:46:55.700,67,,,1,,,1.05,1.02872096E-07,1.04878718,,
2022-12-02 15:46:57.968,68,,,1,,,1.1,1.0737364E-07,1.09875357,,
2022-12-02 15:47:00.212,69,,,1,,,1.15,1.122116E-07,1.14849154,,
2022-12-02 15:47:02.309,70,,,1,,,1.2,1.18173167E-07,1.19843867,,
2022-12-02 15:47:04.845,71,,,1,,,1.25,1.22578264E-07,1.24880959,,
2022-12-02 15:47:06.975,72,,,1,,,1.3,1.28368522E-07,1.29880774,,
2022-12-02 15:47:09.224,73,,,1,,,1.35,1.32984654E-07,1.34880842,,
2022-12-02 15:47:11.481,74,,,1,,,1.4,1.37273556E-07,1.39886307,,
2022-12-02 15:47:13.609,75,,,1,,,1.45,1.42317729E-07,1.44871013,,
