Instrument in Sequence,1 - E3631A - ASRL3::INSTR,,,,,,,,,,
Instrument in Sequence,2 - 34450A - USB0::0x0957::0xB318::MY53180202::0::INSTR,,,,,,,,,,
Start Time,2022-11-30 12:28:37.685,,,,,,,,,,
Stop Time,2022-11-30 12:40:04.359,,,,,,,,,,
,,,,,,,,,,,
Time,Step,1 - Set CH1 On/Off,1 - Set CH2 On/Off,1 - Sweep CH2 Voltage Setting,1 - Get CH2 Voltage Setting,1 - Get CH2 Current Measurement,1 - Sweep CH1 Voltage Setting,2 - Get Measurement Value,Get Measurement Value,1 - Set CH1 On/Off,1 - Set CH2 On/Off ()
2022-11-30 12:28:43.436,1,1,,,,,,,,,
2022-11-30 12:28:44.837,2,,1,,,,,,,,
2022-11-30 12:28:49.569,3,,,0,0,-0.0001092911,,,,,
2022-11-30 12:28:52.119,4,,,0,,,0,-6.5537704E-05,-2.24009398E-09,,
2022-11-30 12:28:54.401,5,,,0,,,0.05,0.0498898684,3.2833279E-09,,
2022-11-30 12:28:56.556,6,,,0,,,0.1,0.0995555285,8.073983E-09,,
2022-11-30 12:28:59.149,7,,,0,,,0.15,0.149475028,1.45398288E-08,,
2022-11-30 12:29:01.280,8,,,0,,,0.2,0.199524653,2.0301153E-08,,
2022-11-30 12:29:03.540,9,,,0,,,0.25,0.249453987,3.82728839E-08,,
2022-11-30 12:29:05.834,10,,,0,,,0.3,0.29935528,1.35893676E-07,,
2022-11-30 12:29:08.036,11,,,0,,,0.35,0.348620541,7.71283531E-07,,
2022-11-30 12:29:10.265,12,,,0,,,0.4,0.3945999,4.45235844E-06,,
2022-11-30 12:29:12.529,13,,,0,,,0.45,0.43010328,1.75527603E-05,,
2022-11-30 12:29:14.794,14,,,0,,,0.5,0.452926357,4.21836635E-05,,
2022-11-30 12:29:16.941,15,,,0,,,0.55,0.46770886,7.40273451E-05,,
2022-11-30 12:29:19.247,16,,,0,,,0.6,0.478214733,0.000109832864,,
2022-11-30 12:29:21.498,17,,,0,,,0.65,0.486229108,0.000147734558,,
2022-11-30 12:29:23.672,18,,,0,,,0.7,0.492702659,0.000187164526,,
2022-11-30 12:29:25.924,19,,,0,,,0.75,0.498125793,0.000227508101,,
2022-11-30 12:29:28.186,20,,,0,,,0.8,0.502790206,0.000268599459,,
2022-11-30 12:29:30.321,21,,,0,,,0.85,0.506891108,0.000310130633,,
2022-11-30 12:29:32.606,22,,,0,,,0.9,0.510547125,0.000351882284,,
2022-11-30 12:29:34.873,23,,,0,,,0.95,0.513859342,0.000394125715,,
2022-11-30 12:29:37.036,24,,,0,,,1,0.516893382,0.000436635961,,
2022-11-30 12:29:39.284,25,,,0,,,1.05,0.519698612,0.000479428869,,
2022-11-30 12:29:41.551,26,,,0,,,1.1,0.522290582,0.000522316727,,
2022-11-30 12:29:43.779,27,,,0,,,1.15,0.52470225,0.000565171527,,
2022-11-30 12:29:45.879,28,,,0,,,1.2,0.526986436,0.000608352638,,
2022-11-30 12:29:48.151,29,,,0,,,1.25,0.529150272,0.000651726672,,
2022-11-30 12:29:50.396,30,,,0,,,1.3,0.53118534,0.00069512688,,
2022-11-30 12:29:52.529,31,,,0,,,1.35,0.533126326,0.000738662294,,
2022-11-30 12:29:54.775,32,,,0,,,1.4,0.53498559,0.000782219611,,
2022-11-30 12:29:57.024,33,,,0,,,1.45,0.536751141,0.00082593278,,
2022-11-30 12:29:59.148,34,,,0,,,1.5,0.538455926,0.000869644196,,
2022-11-30 12:30:01.395,35,,,0,,,1.55,0.540085213,0.000913457778,,
2022-11-30 12:30:03.632,36,,,0,,,1.6,0.541652724,0.000957286375,,
2022-11-30 12:30:05.840,37,,,0,,,1.65,0.543168872,0.00100123126,,
2022-11-30 12:30:08.011,38,,,0,,,1.7,0.544636462,0.00104505852,,
2022-11-30 12:30:10.301,39,,,0,,,1.75,0.546056644,0.00108907515,,
2022-11-30 12:30:12.531,40,,,0,,,1.8,0.547432982,0.00113305957,,
2022-11-30 12:30:14.684,41,,,0,,,1.85,0.548770852,0.00117717356,,
2022-11-30 12:30:16.974,42,,,0,,,1.9,0.550053351,0.00133719823,,
2022-11-30 12:30:19.208,43,,,0,,,1.95,0.554602879,0.0013856786,,
2022-11-30 12:30:21.337,44,,,0,,,2,0.555855727,0.00143405095,,
2022-11-30 12:30:26.065,45,,,1,1,-6.954886E-05,2,,,,
2022-11-30 12:30:28.661,46,,,1,,,0,-4.76409081E-05,-2.83163494E-09,,
2022-11-30 12:30:30.894,47,,,1,,,0.05,0.0498922963,2.45480314E-09,,
2022-11-30 12:30:33.145,48,,,1,,,0.1,0.0995599325,7.71460349E-09,,
2022-11-30 12:30:35.683,49,,,1,,,0.15,0.149487748,1.29734853E-08,,
2022-11-30 12:30:37.943,50,,,1,,,0.2,0.199540188,1.89260959E-08,,
2022-11-30 12:30:40.055,51,,,1,,,0.25,0.249459921,3.78643624E-08,,
2022-11-30 12:30:42.373,52,,,1,,,0.3,0.299379593,1.36431712E-07,,
2022-11-30 12:30:44.627,53,,,1,,,0.35,0.348619696,7.74145937E-07,,
2022-11-30 12:30:46.827,54,,,1,,,0.4,0.394600627,4.47452263E-06,,
2022-11-30 12:30:49.089,55,,,1,,,0.45,0.430069185,1.76057002E-05,,
2022-11-30 12:30:51.385,56,,,1,,,0.5,0.452855048,4.22614456E-05,,
2022-11-30 12:30:53.599,57,,,1,,,0.55,0.467630677,7.41159019E-05,,
2022-11-30 12:30:55.793,58,,,1,,,0.6,0.47814465,0.000109928158,,
2022-11-30 12:30:58.020,59,,,1,,,0.65,0.486141185,0.000147845623,,
2022-11-30 12:31:00.274,60,,,1,,,0.7,0.492621975,0.00018727308,,
2022-11-30 12:31:02.406,61,,,1,,,0.75,0.498034096,0.000227618728,,
2022-11-30 12:31:04.636,62,,,1,,,0.8,0.502706969,0.000268709138,,
2022-11-30 12:31:06.871,63,,,1,,,0.85,0.506804657,0.00031025064,,
2022-11-30 12:31:08.993,64,,,1,,,0.9,0.510459374,0.000352001439,,
2022-11-30 12:31:11.222,65,,,1,,,0.95,0.513769733,0.000394247468,,
2022-11-30 12:31:13.447,66,,,1,,,1,0.516802036,0.000436757401,,
