Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
Serial Number:,MY56272288,,-0.00068125,-0.0281407237052917,-0.527638174593449,
Firmware Version:,02.41.2015102200,,-0.000679234,-0.0281407237052917,-0.547738676890731,
Start Time:,2022-11-30 13:38:49.168,,-0.000677218,-0.0281407237052917,-0.547738676890731,
,,,-0.000675202,-0.0281407237052917,-0.547738676890731,
Analog Sample Count:,992,,-0.000673186,-0.0281407237052917,-0.547738676890731,
Function Sample Count:,0,,-0.00067117,-0.0281407237052917,-0.547738676890731,
Waveform Memory Sample Count:,0,,-0.000669154,-0.0442211255431175,-0.527638174593449,
Digital Sample Count:,0,,-0.000667138,-0.0281407237052917,-0.547738676890731,
,,,-0.000665122,-0.0281407237052917,-0.547738676890731,
Setup Text Information:,,,-0.000663106,-0.0281407237052917,-0.547738676890731,
ANALOG,,,-0.00066109,-0.0281407237052917,-0.547738676890731,
Channel 1,,,-0.000659074,-0.0281407237052917,-0.547738676890731,
Scale,400 mV/,,-0.000657058,-0.0281407237052917,-0.547738676890731,
Pos,-800 mV,,-0.000655042,-0.0442211255431175,-0.547738676890731,
Coup,,,-0.000653026,-0.0281407237052917,-0.547738676890731,
BW,Off,,-0.00065101,-0.0281407237052917,-0.547738676890731,
Inv,Off,,-0.000648994,-0.0281407237052917,-0.527638174593449,
Imp,1M Ohm,,-0.000646978,-0.0281407237052917,-0.547738676890731,
Trace Label,1,,-0.000644962,-0.0281407237052917,-0.547738676890731,
Probe,2,,-0.000642946,-0.0281407237052917,-0.547738676890731,
Skew,0 s,,-0.00064093,-0.0281407237052917,-0.547738676890731,
,,,-0.000638914,-0.0281407237052917,-0.547738676890731,
Channel 3,,,-0.000636898,-0.0281407237052917,-0.547738676890731,
Scale,500 mV/,,-0.000634882,-0.0281407237052917,-0.527638174593449,
Pos,1 V,,-0.000632866,-0.0281407237052917,-0.547738676890731,
Coup,,,-0.00063085,-0.0281407237052917,-0.547738676890731,
BW,Off,,-0.000628834,-0.0281407237052917,-0.547738676890731,
Inv,Off,,-0.000626818,-0.0281407237052917,-0.547738676890731,
Imp,1M Ohm,,-0.000624802,-0.0281407237052917,-0.547738676890731,
Trace Label,3,,-0.000622786,-0.0281407237052917,-0.547738676890731,
Probe,10,,-0.00062077,-0.0281407237052917,-0.547738676890731,
Skew,0 s,,-0.000618754,-0.0281407237052917,-0.547738676890731,
,,,-0.000616738,-0.0281407237052917,-0.547738676890731,
MATH,,,-0.000614722,-0.0281407237052917,-0.547738676890731,
REFERENCE WAVEFORM,,,-0.000612706,-0.0442211255431175,-0.547738676890731,
TRIGGER,,,-0.00061069,-0.0281407237052917,-0.547738676890731,
Sweep Mode,NORM,,-0.000608674,-0.0281407237052917,-0.547738676890731,
