Address:	USB0::0x0957::0x1798::MY56272288::0::INSTR		Analog Channels				Function Channels		
Model:	DSO-X 2014A		Time (s)	2 (VOLT)	3 (VOLT)		Time (s)	M1	
Serial Number:	MY56272288		-0.0006109375	0.584141978062689	4.71977394074202		-0.0006109375	4.1321060503833	
Firmware Version:	02.41.2015102200		-0.00061083333375	0.577860571094789	4.71977394074202		-0.00061083333375	4.13796542468481	
Start Time:	2022-12-21 12:24:11.216		-0.0006107291675	0.58665454084985	4.71977394074202		-0.0006107291675	4.13015292561613	
			-0.00061062500125	0.58916710363701	4.71977394074202		-0.00061062500125	4.12819980084896	
Analog Sample Count:	1920		-0.000610520835	0.584141978062689	4.71977394074202		-0.000610520835	4.1321060503833	
Function Sample Count:	1920		-0.00061041666875	0.59293594781775	4.71977394074202		-0.00061041666875	4.12429355131462	
Waveform Memory Sample Count:	0		-0.0006103125025	0.582885696669109	4.71977394074202		-0.0006103125025	4.13405917515047	
Digital Sample Count:	0		-0.00061020833625	0.581629415275529	4.71977394074202		-0.00061020833625	4.13405917515047	
			-0.00061010417	0.58916710363701	4.71977394074202		-0.00061010417	4.12819980084896	
Setup Text Information:			-0.00061000000375	0.58791082224343	4.71977394074202		-0.00061000000375	4.12819980084896	
ANALOG			-0.0006098958375	0.584141978062689	4.71474881609902		-0.0006098958375	4.12819980084896	
Channel 2			-0.00060979167125	0.582885696669109	4.71977394074202		-0.00060979167125	4.13405917515047	
Scale	500 mV/		-0.000609687505	0.584141978062689	4.71977394074202		-0.000609687505	4.1321060503833	
Pos	-1.09425 V		-0.00060958333875	0.581629415275529	4.71977394074202		-0.00060958333875	4.13405917515047	
Coup			-0.0006094791725	0.581629415275529	4.71977394074202		-0.0006094791725	4.13405917515047	
BW	Off		-0.00060937500625	0.59042338503059	4.71977394074202		-0.00060937500625	4.12624667608179	
Inv	Off		-0.00060927084	0.58791082224343	4.71977394074202		-0.00060927084	4.12819980084896	
Imp	1M Ohm		-0.00060916667375	0.580373133881949	4.71977394074202		-0.00060916667375	4.13601229991764	
Trace Label	2		-0.0006090625075	0.585398259456269	4.71977394074202		-0.0006090625075	4.13015292561613	
Probe	10		-0.00060895834125	0.581629415275529	4.71977394074202		-0.00060895834125	4.13405917515047	
Skew	0 s		-0.000608854175	0.585398259456269	4.71977394074202		-0.000608854175	4.13015292561613	
			-0.00060875000875	0.581629415275529	4.71977394074202		-0.00060875000875	4.13405917515047	
Channel 3			-0.0006086458425	0.585398259456269	4.71474881609902		-0.0006086458425	4.12624667608179	
Scale	2 V/		-0.00060854167625	0.58916710363701	4.71977394074202		-0.00060854167625	4.12819980084896	
Pos	5.765 V		-0.00060843751	0.59293594781775	4.71977394074202		-0.00060843751	4.12429355131462	
Coup			-0.00060833334375	0.58791082224343	4.71977394074202		-0.00060833334375	4.12819980084896	
