Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2014A,,Time (s),2 (VOLT),3 (VOLT),,Time (s),M1,
Serial Number:,MY56272288,,-0.00051,0.59293594781775,4.71977394074202,,-0.00051,4.12429355131462,
Firmware Version:,02.41.2015102200,,-0.000509904,0.58791082224343,4.71977394074202,,-0.000509904,4.12819980084896,
Start Time:,2022-12-21 13:11:37.481,,-0.000509808,0.59042338503059,4.71977394074202,,-0.000509808,4.12624667608179,
,,,-0.000509712,0.580373133881949,4.71977394074202,,-0.000509712,4.13601229991764,
Analog Sample Count:,625,,-0.000509616,0.581629415275529,4.71977394074202,,-0.000509616,4.13405917515047,
Function Sample Count:,625,,-0.00050952,0.59419222921133,4.72479906538501,,-0.00050952,4.12819980084896,
Waveform Memory Sample Count:,0,,-0.000509424,0.585398259456269,4.71977394074202,,-0.000509424,4.13015292561613,
Digital Sample Count:,0,,-0.000509328,0.581629415275529,4.73987443931401,,-0.000509328,4.15554354758933,
,,,-0.000509232,0.584141978062689,4.71977394074202,,-0.000509232,4.1321060503833,
Setup Text Information:,,,-0.000509136,0.59042338503059,4.71977394074202,,-0.000509136,4.12624667608179,
ANALOG,,,-0.00050904,0.59419222921133,4.71977394074202,,-0.00050904,4.12234042654745,
Channel 2,,,-0.000508944,0.582885696669109,4.71977394074202,,-0.000508944,4.13405917515047,
Scale,500 mV/,,-0.000508848,0.59167966642417,4.71977394074202,,-0.000508848,4.12429355131462,
Pos,-1.09425 V,,-0.000508752,0.58665454084985,4.71977394074202,,-0.000508752,4.13015292561613,
Coup,,,-0.000508656,0.584141978062689,4.71977394074202,,-0.000508656,4.1321060503833,
BW,Off,,-0.00050856,0.58916710363701,4.71977394074202,,-0.00050856,4.12819980084896,
Inv,Off,,-0.000508464,0.58791082224343,4.72982419002801,,-0.000508464,4.13796542468481,
Imp,1M Ohm,,-0.000508368,0.58665454084985,4.71977394074202,,-0.000508368,4.13015292561613,
Trace Label,2,,-0.000508272,0.59419222921133,4.71977394074202,,-0.000508272,4.12234042654745,
Probe,10,,-0.000508176,0.577860571094789,4.71977394074202,,-0.000508176,4.13796542468481,
Skew,0 s,,-0.00050808,0.59419222921133,4.71977394074202,,-0.00050808,4.12234042654745,
,,,-0.000507984,0.59419222921133,4.71977394074202,,-0.000507984,4.12234042654745,
Channel 3,,,-0.000507888,0.59167966642417,4.71977394074202,,-0.000507888,4.12429355131462,
Scale,2 V/,,-0.000507792,0.58665454084985,4.71977394074202,,-0.000507792,4.13015292561613,
Pos,5.765 V,,-0.000507696,0.59167966642417,4.71977394074202,,-0.000507696,4.12429355131462,
